# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
4000 0.0293781
6000 0.0296844
8000 0.0258719
10000 0.0259156
12000 0.027125
14000 0.0270188
16000 0.0302375
18000 0.0272531
20000 0.0259281
22000 0.0259625
24000 0.0270312
26000 0.0233625
28000 0.0230219
30000 0.0210531
32000 0.0228844
34000 0.0230469
36000 0.0263156
38000 0.0269313
40000 0.0260469
42000 0.0273156
44000 0.0238625
46000 0.0233375
48000 0.0247781
50000 0.0275719
52000 0.0255594
54000 0.0255438
56000 0.0258844
58000 0.0242031
60000 0.0236812
62000 0.0245969
64000 0.0251094
66000 0.0231812
68000 0.0245594
70000 0.02225
72000 0.02255
74000 0.0243813
76000 0.0228594
78000 0.0238094
80000 0.0222188
82000 0.0256344
84000 0.0282281
86000 0.0265437
88000 0.0258969
90000 0.0228312
92000 0.024175
94000 0.0255469
96000 0.0231406
98000 0.0237656
100000 0.0237437
102000 0.0247156
104000 0.0255844
106000 0.0220687
108000 0.0234062
110000 0.0230531
112000 0.0224625
114000 0.0254812
116000 0.0242813
118000 0.0221594
120000 0.0217594
122000 0.02245
124000 0.0221031
126000 0.0234031
128000 0.0246781
130000 0.0255187
132000 0.0237719
134000 0.0269844
136000 0.0243875
138000 0.0248781
140000 0.0252375
142000 0.0233313
144000 0.0232875
146000 0.0236969
148000 0.02465
150000 0.0294344
152000 0.0255313
154000 0.0260844
156000 0.0240031
158000 0.0247594
160000 0.0236281
162000 0.0248406
164000 0.0257969
166000 0.0251656
168000 0.0248125
170000 0.0239156
172000 0.0245938
174000 0.0266875
176000 0.0243969
178000 0.0283031
180000 0.02825
182000 0.026775
184000 0.0304344
186000 0.0259406
188000 0.0264719
190000 0.0251062
192000 0.0232531
194000 0.0217844
196000 0.0252344
198000 0.0229
200000 0.0243844
202000 0.021025
204000 0.0232187
206000 0.0224031
208000 0.02425
210000 0.0228719
212000 0.0244813
214000 0.0233687
216000 0.0271562
218000 0.0216563
220000 0.0262531
222000 0.023975
224000 0.0256469
226000 0.0233219
228000 0.0218844
230000 0.0237719
232000 0.0248781
234000 0.0267281
236000 0.0266406
238000 0.0262656
240000 0.0260844
242000 0.0251031
244000 0.0267719
246000 0.0257406
248000 0.0257781
250000 0.0227531
252000 0.0274313
254000 0.0246656
256000 0.0251063
258000 0.0221375
260000 0.0261313
262000 0.0232969
264000 0.0219687
266000 0.0242094
268000 0.0224531
270000 0.0223
272000 0.0228437
274000 0.0261
276000 0.0246
278000 0.0246719
280000 0.0241812
282000 0.0247531
284000 0.0261031
286000 0.0269188
288000 0.0277125
290000 0.0241156
292000 0.0254469
294000 0.0263563
296000 0.0263594
298000 0.0217094
300000 0.0241781
