# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
205 0 -1.82938 -0.138739
206 0.0462453 -1.82931 -0.118123
207 0.134969 -1.82889 -0.0781054
208 0.215778 -1.82768 -0.0384195
209 0.286888 -1.82526 0.00211732
210 0.349721 -1.82133 0.045017
211 0.409759 -1.81553 0.0945729
212 0.462375 -1.80767 0.148136
213 0.507081 -1.7976 0.206742
214 0.546063 -1.78509 0.273925
215 0.581619 -1.77001 0.34959
216 0.612232 -1.75229 0.432801
217 0.627511 -1.73213 0.516487
218 0.643739 -1.71027 0.60515
219 0.66038 -1.68595 0.703291
220 0.662283 -1.66077 0.798351
221 0.662925 -1.63549 0.893658
222 0.677626 -1.61077 0.991224
223 0.694821 -1.58632 1.08683
224 0.69981 -1.56353 1.17084
225 0.704456 -1.54331 1.24594
226 0.712746 -1.52546 1.31351
227 0.715881 -1.50962 1.37042
228 0.723167 -1.49677 1.41693
229 0.746035 -1.48468 1.46774
230 0.77074 -1.4737 1.51352
231 0.789465 -1.46383 1.5513
232 0.803066 -1.45402 1.58516
233 0.808844 -1.4455 1.61078
234 0.812712 -1.43847 1.62949
235 0.817129 -1.43128 1.64713
236 0.817083 -1.42425 1.66253
237 0.810498 -1.41697 1.6715
238 0.820829 -1.4095 1.68783
239 0.832956 -1.40286 1.70064
240 0.831196 -1.39517 1.71038
241 0.833924 -1.38874 1.71627
242 0.844089 -1.38151 1.72976
243 0.845079 -1.37497 1.73418
244 0.837078 -1.36785 1.73816
245 0.836236 -1.36339 1.73763
246 0.850832 -1.35972 1.74136
247 0.872479 -1.35737 1.74372
248 0.889213 -1.3556 1.74029
249 0.906332 -1.35404 1.73657
250 0.920897 -1.35257 1.73172
251 0.932524 -1.35078 1.72788
252 0.93609 -1.3485 1.72067
253 0.940494 -1.3455 1.71689
254 0.951867 -1.34127 1.72288
255 0.964639 -1.33652 1.72811
256 0.973113 -1.33202 1.73212
257 0.978541 -1.32669 1.73932
258 0.980936 -1.32117 1.74584
259 0.980168 -1.31487 1.75395
260 0.97206 -1.30848 1.75839
261 0.962904 -1.30167 1.76367
262 0.958474 -1.29591 1.76687
263 0.952709 -1.29046 1.76854
264 0.944674 -1.28354 1.77472
265 0.951872 -1.27889 1.77798
266 0.966634 -1.27421 1.78601
267 0.965456 -1.269 1.78903
268 0.966518 -1.26342 1.79405
269 0.974772 -1.25916 1.79834
270 0.984449 -1.25501 1.80362
271 0.995729 -1.25224 1.80334
272 0.993568 -1.24951 1.79711
273 0.995644 -1.24954 1.78254
274 0.998691 -1.25003 1.76789
275 0.997422 -1.25187 1.74837
276 1.0041 -1.25319 1.73502
277 1.01316 -1.25363 1.72673
278 1.00963 -1.25308 1.71649
279 1.00869 -1.25049 1.71584
280 1.00038 -1.24709 1.71521
281 0.991788 -1.24301 1.71613
282 0.995762 -1.23739 1.72961
283 1.00346 -1.23284 1.74419
284 1.00095 -1.2315 1.74323
285 0.999931 -1.23132 1.73798
286 0.99822 -1.23193 1.72955
287 0.984167 -1.23124 1.71855
288 0.968351 -1.2294 1.71025
289 0.96137 -1.22731 1.70671
290 0.960082 -1.22333 1.71221
291 0.965534 -1.21996 1.71745
292 0.971496 -1.218 1.71766
293 0.967564 -1.21621 1.71326
294 0.965643 -1.21535 1.70669
295 0.971419 -1.21552 1.70169
296 0.980257 -1.21368 1.70497
297 0.992501 -1.21081 1.71209
298 0.990355 -1.20903 1.70762
299 0.981084 -1.20804 1.69682
300 0.988037 -1.20787 1.68891
301 0.986613 -1.20805 1.67713
302 0.967356 -1.20763 1.65872
303 0.966784 -1.20774 1.64572
304 0.960393 -1.20894 1.62452
305 0.957921 -1.21106 1.6034
