# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
220 0.585338 -1.74322 0.451672
230 0.716818 -1.53405 1.28121
240 0.816977 -1.42428 1.65508
250 0.868422 -1.36345 1.73626
260 0.962813 -1.33029 1.73598
270 0.96415 -1.27442 1.78505
280 1.00128 -1.25058 1.74634
290 0.984672 -1.23071 1.72497
300 0.979158 -1.21279 1.70517
310 0.959322 -1.21068 1.59516
320 0.95851 -1.20116 1.54823
330 0.969348 -1.16724 1.62694
340 0.978276 -1.15726 1.60481
350 0.966465 -1.15548 1.52977
360 0.984817 -1.15929 1.45548
370 1.00712 -1.15365 1.43502
380 1.02008 -1.14184 1.45417
390 1.02386 -1.13738 1.43223
400 0.995117 -1.11425 1.4548
410 1.02919 -1.10137 1.49605
420 1.04086 -1.1037 1.43795
430 1.03729 -1.11375 1.3364
440 1.04055 -1.11502 1.30899
450 1.0133 -1.10382 1.30546
460 0.979533 -1.11515 1.23226
470 0.960228 -1.11335 1.23834
480 0.955646 -1.0991 1.29126
490 0.968337 -1.10532 1.23714
500 0.97409 -1.08999 1.29452
510 0.983651 -1.08699 1.29225
520 1.01507 -1.09607 1.25816
530 1.00799 -1.09236 1.24135
540 1.00223 -1.07757 1.27166
550 1.01334 -1.06901 1.30085
560 1.00219 -1.06317 1.30848
570 0.985451 -1.04023 1.36863
580 1.013 -1.06481 1.27012
590 0.993601 -1.07657 1.20133
600 0.990389 -1.08596 1.15456
610 1.01717 -1.0798 1.1771
620 0.998103 -1.07326 1.18668
630 1.01746 -1.07209 1.17058
640 0.993863 -1.05177 1.21318
650 1.00566 -1.05643 1.20829
660 1.0106 -1.05369 1.21699
670 0.980286 -1.0434 1.22285
680 0.981029 -1.04904 1.17905
690 0.957044 -1.06348 1.07764
700 0.989852 -1.04813 1.14152
710 1.00203 -1.02708 1.21866
720 1.00371 -1.0305 1.2104
730 1.00103 -1.05558 1.11022
740 1.00804 -1.06106 1.1105
750 0.957531 -1.03325 1.18557
760 0.9745 -1.04668 1.13062
770 1.00163 -1.04491 1.14221
780 0.993896 -1.01929 1.23626
790 1.02225 -1.04689 1.11705
800 0.99191 -1.05447 1.0557
810 1.01176 -1.05616 1.04474
820 0.979192 -1.03554 1.09198
830 0.971607 -1.05171 1.02259
840 0.983887 -1.04764 1.06262
850 0.999534 -1.03856 1.10089
860 0.975161 -1.02287 1.13314
870 0.990989 -1.0296 1.14022
880 0.999038 -1.05246 1.04897
890 1.01636 -1.0491 1.05795
900 1.0338 -1.04098 1.08329
910 1.01955 -1.04495 1.05396
920 0.994335 -1.03567 1.07137
930 0.9826 -1.03612 1.08088
940 1.01411 -1.03707 1.10356
950 0.986783 -1.03677 1.08948
960 1.00007 -1.0489 1.06983
970 0.97935 -1.04511 1.07093
980 0.965789 -1.05531 1.01758
990 0.961286 -1.05167 1.02227
1000 0.992059 -1.03538 1.0855
1010 0.991752 -1.04185 1.08136
1020 1.00355 -1.02473 1.15484
1030 1.02723 -1.03453 1.10301
1040 1.01085 -1.02696 1.12391
1050 1.01909 -1.03558 1.10799
1060 1.01387 -1.02311 1.15473
1070 0.995826 -1.0167 1.1483
