# Time-averaged data for fix myat5
# TimeStep f_mysf1[1]
10000 -0.95348
20000 -9.2389
30000 -2.70456
40000 -4.83071
50000 -11.5369
60000 -4.75829
70000 -3.59423
80000 -8.46823
90000 -8.89388
100000 4.02294
110000 -1.77011
120000 -7.16549
130000 -5.36471
140000 -9.94864
150000 -5.19274
160000 2.12264
170000 2.2694
180000 0.644099
190000 1.89754
200000 5.70817
210000 8.79691
220000 1.09434
230000 -4.25297
240000 -1.12812
250000 0.239165
260000 -1.6624
270000 -1.7379
280000 -4.55492
290000 1.12691
300000 0.955834
310000 -3.65381
320000 11.4962
330000 -1.73634
340000 -4.19057
350000 -6.08882
360000 -5.91859
370000 -6.30652
380000 -6.3326
390000 -4.84078
400000 7.07133
410000 -7.34465
420000 -7.58202
430000 -16.4736
440000 14.8413
450000 -1.21586
460000 -6.35175
470000 -10.0737
480000 -0.816528
490000 -2.99513
500000 7.18286
510000 -6.31417
520000 4.08052
530000 -6.39326
540000 3.13664
550000 -6.36982
560000 3.5353
570000 -3.64385
580000 -0.764528
590000 1.49702
600000 0.0650745
610000 -0.917376
620000 -11.4812
630000 4.51706
640000 9.29899
650000 -3.99888
660000 -1.17517
670000 4.10406
680000 0.488412
690000 -4.92349
700000 -9.33868
710000 -4.42443
720000 -4.91698
730000 -2.18171
740000 -2.5157
750000 -1.87788
760000 -4.42162
770000 6.91182
780000 -1.77374
790000 2.51998
800000 -3.07133
810000 -1.18798
820000 -10.1117
830000 4.36076
840000 -12.6024
850000 -2.77038
860000 -0.706035
870000 -4.0147
880000 -7.09563
890000 -8.44868
900000 -7.96988
910000 -2.22669
920000 -2.57838
930000 -1.86012
940000 5.66328
950000 -5.62751
960000 -1.51934
970000 11.976
980000 1.71194
990000 -4.66382
1000000 -8.37599
