# Time-averaged data for fix myat3
# TimeStep v_position_piston_left
0 -25.951
1000 -26.0237
2000 -25.9037
3000 -25.9036
4000 -25.9356
5000 -26.0095
6000 -25.9305
7000 -26.0159
8000 -26.0045
9000 -26.0989
10000 -26.1622
11000 -26.1481
12000 -26.1007
13000 -26.0906
14000 -26.1141
15000 -26.0589
16000 -26.0265
17000 -26.0343
18000 -26.0279
19000 -25.9478
20000 -25.9566
21000 -25.8799
22000 -25.9309
23000 -25.9136
24000 -25.8537
25000 -25.8154
26000 -25.7757
27000 -25.874
28000 -25.7858
29000 -25.7582
30000 -25.7815
31000 -25.8237
32000 -25.7284
33000 -25.848
34000 -25.8273
35000 -25.7235
36000 -25.7264
37000 -25.6773
38000 -25.6883
39000 -25.7569
40000 -25.6881
41000 -25.654
42000 -25.7911
43000 -25.8311
44000 -25.7567
45000 -25.7947
46000 -25.7609
47000 -25.7491
48000 -25.6356
49000 -25.6406
50000 -25.5982
51000 -25.4888
52000 -25.5142
53000 -25.568
54000 -25.5693
55000 -25.5199
56000 -25.4949
57000 -25.4201
58000 -25.441
59000 -25.4526
60000 -25.4212
61000 -25.222
62000 -25.2917
63000 -25.334
64000 -25.3875
65000 -25.3613
66000 -25.5097
67000 -25.5324
68000 -25.4828
69000 -25.4598
70000 -25.4779
71000 -25.6247
72000 -25.5908
73000 -25.5786
74000 -25.631
75000 -25.6148
76000 -25.5956
77000 -25.5895
78000 -25.5913
79000 -25.5445
80000 -25.4823
81000 -25.4199
82000 -25.4936
83000 -25.5024
84000 -25.5432
85000 -25.496
86000 -25.3454
87000 -25.261
88000 -25.3744
89000 -25.5388
90000 -25.4477
91000 -25.4578
92000 -25.3005
93000 -25.3494
94000 -25.2458
95000 -25.2927
96000 -25.3094
97000 -25.3123
98000 -25.3004
99000 -25.1954
100000 -25.1477
101000 -25.1118
102000 -25.2393
103000 -25.1056
104000 -25.1374
105000 -24.9895
106000 -25.0361
107000 -25.0971
108000 -25.079
109000 -25.1742
110000 -25.1076
111000 -25.069
112000 -24.9726
113000 -24.9922
114000 -24.9607
115000 -25.0435
116000 -25.0568
117000 -25.0056
118000 -24.9891
119000 -24.9058
120000 -24.9678
121000 -25.0057
122000 -24.9888
123000 -25.1897
124000 -25.2163
125000 -25.2419
126000 -25.3913
127000 -25.3857
128000 -25.2786
129000 -25.241
130000 -25.1447
131000 -25.119
132000 -25.0974
133000 -25.1213
134000 -25.0638
135000 -25.1079
136000 -25.0866
137000 -25.2434
138000 -25.2287
139000 -25.1451
140000 -25.1106
141000 -25.0164
142000 -24.9907
143000 -25.042
144000 -25.0862
145000 -25.0929
146000 -25.0618
147000 -25.0963
148000 -25.16
149000 -25.1124
150000 -25.2114
151000 -25.099
152000 -25.2167
153000 -25.2004
154000 -25.1771
155000 -25.1172
156000 -25.0848
157000 -25.1517
158000 -25.0453
159000 -25.0954
160000 -25.2054
161000 -25.1221
162000 -24.9925
163000 -24.9903
164000 -25.0371
165000 -25.0026
166000 -24.9731
167000 -24.9579
168000 -25.0015
169000 -24.8704
170000 -25.0058
171000 -24.9956
172000 -24.9765
173000 -24.8975
174000 -24.9424
175000 -24.9929
176000 -25.0331
177000 -24.9493
178000 -24.9776
179000 -25.0611
180000 -25.0921
181000 -25.1479
182000 -25.0694
183000 -25.0019
184000 -25.1251
185000 -24.9706
186000 -25.0182
187000 -25.0718
188000 -25.0861
189000 -25.1374
190000 -25.0993
191000 -25.1401
192000 -25.1751
193000 -25.1836
194000 -25.1975
195000 -25.1409
196000 -25.1055
197000 -25.1814
198000 -25.1643
199000 -25.1944
200000 -25.3011
201000 -25.2023
202000 -25.2449
203000 -25.2356
204000 -25.1616
205000 -25.2751
206000 -25.3167
207000 -25.3094
208000 -25.2933
209000 -25.3417
210000 -25.2538
211000 -25.2739
212000 -25.1763
213000 -25.382
214000 -25.26
215000 -25.3104
216000 -25.379
217000 -25.5194
218000 -25.5365
219000 -25.4651
220000 -25.5654
221000 -25.4147
222000 -25.3478
223000 -25.3579
224000 -25.3948
225000 -25.3307
226000 -25.3068
227000 -25.3413
228000 -25.2866
229000 -25.2337
230000 -25.2219
231000 -25.2723
232000 -25.2973
233000 -25.3037
234000 -25.2864
235000 -25.2252
236000 -25.26
237000 -25.2647
238000 -25.3584
239000 -25.3855
240000 -25.2669
241000 -25.2462
242000 -25.2613
243000 -25.2602
244000 -25.2395
245000 -25.2385
246000 -25.2267
247000 -25.244
248000 -25.1873
249000 -25.2709
250000 -25.3479
251000 -25.3595
252000 -25.3264
253000 -25.3292
254000 -25.3818
255000 -25.3564
256000 -25.3591
257000 -25.4307
258000 -25.5322
259000 -25.4731
260000 -25.597
261000 -25.5507
262000 -25.4932
263000 -25.4799
264000 -25.5044
265000 -25.3905
266000 -25.3476
267000 -25.3585
268000 -25.4052
269000 -25.3969
270000 -25.4873
271000 -25.484
272000 -25.4335
273000 -25.3611
274000 -25.2163
275000 -25.1527
276000 -25.2477
277000 -25.2958
278000 -25.4022
279000 -25.3886
280000 -25.3665
281000 -25.558
282000 -25.5724
283000 -25.4098
284000 -25.5726
285000 -25.499
286000 -25.5663
287000 -25.5555
288000 -25.5484
289000 -25.532
290000 -25.5926
291000 -25.4991
292000 -25.5089
293000 -25.6036
294000 -25.4101
295000 -25.4997
296000 -25.4266
297000 -25.4847
298000 -25.3878
299000 -25.4441
300000 -25.5349
301000 -25.5164
302000 -25.5452
303000 -25.6157
304000 -25.5513
305000 -25.6144
306000 -25.4891
307000 -25.5618
308000 -25.7616
309000 -25.8158
310000 -25.8323
311000 -25.8359
312000 -25.8278
313000 -25.7411
314000 -25.7872
315000 -25.7725
316000 -25.7514
317000 -25.7765
318000 -25.7697
319000 -25.7728
320000 -25.7915
321000 -25.8192
322000 -25.7965
323000 -25.8854
324000 -25.7331
325000 -25.7337
326000 -25.8027
327000 -25.7028
328000 -25.6729
329000 -25.5937
330000 -25.559
331000 -25.4899
332000 -25.6061
333000 -25.6113
334000 -25.6324
335000 -25.5954
336000 -25.7076
337000 -25.7638
338000 -25.7591
339000 -25.7868
340000 -25.7896
341000 -25.8009
342000 -25.7968
343000 -25.8459
344000 -25.8606
345000 -25.8637
346000 -25.867
347000 -25.8663
348000 -25.8428
349000 -25.8852
350000 -25.9793
351000 -25.9271
352000 -25.8991
353000 -25.8802
354000 -25.8582
355000 -25.7879
356000 -25.7872
357000 -25.8244
358000 -25.8218
359000 -25.9436
360000 -25.8955
361000 -25.9614
362000 -25.9766
363000 -25.9359
364000 -25.8992
365000 -25.8967
366000 -25.9254
367000 -25.8484
368000 -25.8336
369000 -25.8302
370000 -25.7583
371000 -25.7037
372000 -25.6915
373000 -25.7219
374000 -25.8605
375000 -25.7274
376000 -25.6803
377000 -25.6808
378000 -25.7368
379000 -25.7265
380000 -25.7131
381000 -25.7138
382000 -25.8425
383000 -25.8331
384000 -25.7437
385000 -25.7769
386000 -25.7722
387000 -25.7011
388000 -25.6806
389000 -25.7214
390000 -25.6022
391000 -25.6774
392000 -25.7367
393000 -25.6978
394000 -25.5435
395000 -25.5886
396000 -25.5725
397000 -25.5123
398000 -25.5279
399000 -25.4447
400000 -25.3997
401000 -25.3656
402000 -25.3651
403000 -25.3589
404000 -25.3698
405000 -25.4065
406000 -25.2839
407000 -25.2745
408000 -25.2036
409000 -25.2975
410000 -25.2509
411000 -25.2189
412000 -25.2675
413000 -25.3278
414000 -25.3397
415000 -25.2036
416000 -25.3375
417000 -25.2469
418000 -25.2019
419000 -25.2651
420000 -25.246
421000 -25.1817
422000 -25.3686
423000 -25.2915
424000 -25.3584
425000 -25.2891
426000 -25.3637
427000 -25.3999
428000 -25.3057
429000 -25.358
430000 -25.3283
431000 -25.4664
432000 -25.4617
433000 -25.5442
434000 -25.5333
435000 -25.5803
436000 -25.6639
437000 -25.7028
438000 -25.785
439000 -25.7877
440000 -25.7886
441000 -25.7527
442000 -25.7887
443000 -25.7192
444000 -25.6075
445000 -25.6761
446000 -25.6287
447000 -25.6871
448000 -25.5477
449000 -25.483
450000 -25.6215
451000 -25.684
452000 -25.6412
453000 -25.6634
454000 -25.601
455000 -25.721
456000 -25.762
457000 -25.8452
458000 -25.9444
459000 -25.973
460000 -25.911
461000 -25.9077
462000 -25.8667
463000 -25.7989
464000 -25.8322
465000 -25.8526
466000 -25.8404
467000 -25.8407
468000 -25.8531
469000 -25.9658
470000 -25.9396
471000 -26.0203
472000 -26.0617
473000 -26.0114
474000 -26.0467
475000 -25.9195
476000 -25.9696
477000 -26.0144
478000 -25.9772
479000 -25.9132
480000 -25.8102
481000 -25.8272
482000 -25.7988
483000 -25.7382
484000 -25.7405
485000 -25.7754
486000 -25.7905
487000 -25.7204
488000 -25.7827
489000 -25.7773
490000 -25.6044
491000 -25.5565
492000 -25.5365
493000 -25.4698
494000 -25.5627
495000 -25.5904
496000 -25.5302
497000 -25.5946
498000 -25.6052
499000 -25.621
500000 -25.6287
501000 -25.6194
502000 -25.6788
503000 -25.5928
504000 -25.5944
505000 -25.6098
506000 -25.7293
507000 -25.613
508000 -25.6746
509000 -25.6048
510000 -25.5544
511000 -25.5835
512000 -25.5942
513000 -25.5765
514000 -25.6783
515000 -25.6637
516000 -25.7027
517000 -25.6729
518000 -25.6018
519000 -25.7082
520000 -25.6978
521000 -25.6947
522000 -25.7067
523000 -25.6944
524000 -25.7614
525000 -25.7203
526000 -25.754
527000 -25.6387
528000 -25.6769
529000 -25.5683
530000 -25.4859
531000 -25.4758
532000 -25.5107
533000 -25.3135
534000 -25.3225
535000 -25.3789
536000 -25.4162
537000 -25.3615
538000 -25.4624
539000 -25.3863
540000 -25.3528
541000 -25.5405
542000 -25.5709
543000 -25.4977
544000 -25.5568
545000 -25.5455
546000 -25.5095
547000 -25.5218
548000 -25.5362
549000 -25.4719
550000 -25.3649
551000 -25.4166
