# Time-averaged data for fix myat1
# TimeStep v_solvent_right
0 550
1000 557
2000 548
3000 553
4000 553
5000 550
6000 545
7000 548
8000 549
9000 545
10000 548
11000 548
12000 551
13000 554
14000 555
15000 556
16000 559
17000 556
18000 559
19000 557
20000 560
21000 560
22000 560
23000 566
24000 560
25000 555
26000 551
27000 552
28000 556
29000 561
30000 557
31000 563
32000 567
33000 563
34000 566
35000 571
36000 563
37000 564
38000 567
39000 562
40000 567
41000 568
42000 571
43000 572
44000 565
45000 566
46000 559
47000 556
48000 558
49000 560
50000 556
51000 556
52000 560
53000 556
54000 553
55000 558
56000 562
57000 560
58000 561
59000 561
60000 557
61000 556
62000 561
63000 564
64000 564
65000 565
66000 561
67000 566
68000 564
69000 563
70000 556
71000 563
72000 559
73000 561
74000 571
75000 568
76000 573
77000 577
78000 574
79000 577
80000 578
81000 579
82000 578
83000 580
84000 581
85000 580
86000 583
87000 581
88000 585
89000 584
90000 586
91000 584
92000 586
93000 591
94000 591
95000 595
96000 591
97000 589
98000 589
99000 594
100000 591
101000 589
102000 588
103000 589
104000 585
105000 589
106000 594
107000 591
108000 593
109000 592
110000 585
111000 589
112000 591
113000 586
114000 589
115000 583
116000 579
117000 578
118000 585
119000 588
120000 587
121000 585
122000 588
123000 591
124000 590
125000 585
126000 588
127000 581
128000 582
129000 584
130000 586
131000 578
132000 580
133000 584
134000 586
135000 586
136000 586
137000 585
138000 587
139000 591
140000 589
141000 589
142000 589
143000 591
144000 588
145000 590
146000 590
147000 592
148000 591
149000 588
150000 586
151000 584
152000 578
153000 588
154000 581
155000 583
156000 586
157000 588
158000 586
159000 586
160000 587
161000 587
162000 595
163000 594
164000 594
165000 597
166000 600
167000 597
168000 597
169000 599
170000 601
171000 608
172000 605
173000 601
174000 602
175000 612
176000 615
177000 612
178000 611
179000 606
180000 610
181000 608
182000 607
183000 609
184000 605
185000 604
186000 599
187000 597
188000 595
189000 599
190000 598
191000 604
192000 599
193000 598
194000 595
195000 592
196000 590
197000 592
198000 591
199000 590
200000 591
201000 590
202000 590
203000 585
204000 590
205000 591
206000 589
207000 589
208000 592
209000 592
210000 592
211000 601
212000 599
213000 600
214000 596
215000 595
216000 593
217000 593
218000 590
219000 585
220000 586
221000 592
222000 594
223000 590
224000 594
225000 590
226000 589
227000 593
228000 593
229000 596
230000 598
231000 592
232000 593
233000 599
234000 595
235000 595
236000 596
237000 590
238000 593
239000 597
240000 597
241000 596
242000 592
243000 594
244000 589
245000 592
246000 592
247000 594
248000 598
249000 592
250000 600
251000 598
252000 602
253000 595
254000 596
255000 590
256000 598
257000 597
258000 594
259000 586
260000 596
261000 592
262000 596
263000 597
264000 599
265000 603
266000 602
267000 595
268000 598
269000 603
270000 598
271000 598
272000 603
273000 603
274000 608
275000 609
276000 609
277000 614
278000 616
279000 615
280000 613
281000 619
282000 617
283000 614
284000 609
285000 613
286000 608
287000 607
288000 607
289000 607
290000 606
291000 605
292000 602
293000 594
294000 600
295000 608
296000 607
297000 613
298000 610
299000 610
300000 615
301000 615
302000 612
303000 610
304000 605
305000 608
306000 608
307000 606
308000 603
309000 611
310000 609
311000 609
312000 602
313000 606
314000 605
315000 612
316000 615
317000 619
318000 617
319000 620
320000 612
321000 615
322000 617
323000 617
324000 607
325000 612
326000 615
327000 615
328000 614
329000 622
330000 618
331000 615
332000 618
333000 620
334000 616
335000 618
336000 614
337000 613
338000 618
339000 613
340000 613
341000 614
342000 611
343000 614
344000 612
345000 612
346000 612
347000 611
348000 614
349000 617
350000 620
351000 623
352000 625
353000 624
354000 622
355000 619
356000 621
357000 623
358000 624
359000 621
360000 620
361000 618
362000 625
363000 633
364000 635
365000 634
366000 635
367000 637
368000 633
369000 632
370000 629
371000 632
372000 630
373000 626
374000 624
375000 625
376000 624
377000 627
378000 618
379000 613
380000 621
381000 616
382000 620
383000 619
384000 625
385000 627
386000 628
387000 624
388000 625
389000 630
390000 632
391000 632
392000 628
393000 625
394000 627
395000 623
396000 625
397000 624
398000 629
399000 627
400000 626
401000 630
402000 632
403000 638
404000 633
405000 631
406000 635
407000 636
408000 637
409000 639
410000 633
411000 636
412000 636
413000 635
414000 638
415000 640
416000 639
417000 638
418000 643
419000 638
420000 639
421000 631
422000 631
423000 626
424000 630
425000 630
426000 629
427000 636
428000 624
429000 627
430000 624
431000 628
432000 630
433000 628
434000 621
435000 620
436000 624
437000 629
438000 625
439000 623
440000 623
441000 619
442000 624
443000 621
444000 628
445000 627
446000 626
447000 625
448000 627
449000 628
450000 629
451000 624
452000 621
453000 627
454000 632
455000 636
456000 636
457000 638
458000 634
459000 642
460000 646
461000 647
462000 651
463000 644
464000 646
465000 645
466000 647
467000 643
468000 638
469000 641
470000 636
471000 634
472000 629
473000 627
474000 623
475000 627
476000 626
477000 626
478000 629
479000 625
480000 629
481000 634
482000 631
483000 627
484000 627
485000 627
486000 627
487000 631
488000 634
489000 629
490000 629
491000 627
492000 634
493000 624
494000 620
495000 623
496000 617
497000 621
498000 616
499000 619
500000 616
501000 622
502000 615
503000 615
504000 614
