# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0130455
200 0.0134212
300 0.0138323
400 0.0141205
500 0.0144019
600 0.0147013
700 0.0149841
800 0.0151744
900 0.0152536
1000 0.01526
1100 0.0152676
1200 0.015255
1300 0.0152868
1400 0.0153143
1500 0.0152708
1600 0.0152417
1700 0.0152466
1800 0.0152405
1900 0.0152332
2000 0.0152069
2100 0.0151707
2200 0.0151488
2300 0.0150934
2400 0.0150234
2500 0.0150327
2600 0.0150572
2700 0.015058
2800 0.0150944
2900 0.0151708
3000 0.0152724
3100 0.0153345
3200 0.0154002
3300 0.0155429
3400 0.0157228
3500 0.0159168
3600 0.0160588
3700 0.0161499
3800 0.0162295
3900 0.0162809
4000 0.0163043
4100 0.0163507
4200 0.0163883
4300 0.0163823
4400 0.016377
4500 0.0164171
4600 0.016476
4700 0.0164997
4800 0.01651
4900 0.0165284
5000 0.0165233
5100 0.0164389
5200 0.0163395
5300 0.0162769
5400 0.0162999
5500 0.0163812
5600 0.0164457
5700 0.0164705
5800 0.0164885
5900 0.0166069
6000 0.0167738
6100 0.0168747
6200 0.0169093
6300 0.0169936
6400 0.0171236
6500 0.0171954
6600 0.0171188
6700 0.0170041
6800 0.0169272
6900 0.0168994
7000 0.0168786
7100 0.0169242
7200 0.0170056
7300 0.017075
7400 0.0171189
7500 0.0171971
7600 0.0173422
7700 0.0175348
7800 0.0177839
7900 0.0180297
8000 0.0182096
8100 0.0183663
8200 0.0184673
8300 0.0186077
8400 0.0187935
8500 0.0190085
8600 0.01923
8700 0.019394
8800 0.0195277
8900 0.0196741
9000 0.0198055
9100 0.0199066
9200 0.0200025
9300 0.0200536
9400 0.0200323
9500 0.020006
9600 0.0200211
9700 0.020062
9800 0.0200344
9900 0.0200068
10000 0.0200446
10100 0.0200477
10200 0.0199622
10300 0.0198382
10400 0.0196741
10500 0.019563
10600 0.0195522
10700 0.019549
10800 0.0195282
10900 0.0195528
11000 0.0196126
11100 0.0196846
11200 0.0197377
11300 0.0197455
11400 0.0197539
11500 0.0198306
11600 0.0198965
11700 0.0198746
11800 0.0198363
11900 0.0197932
12000 0.0198133
12100 0.0198567
12200 0.0198471
12300 0.0198214
12400 0.0198127
12500 0.0199595
12600 0.0202438
12700 0.0204742
12800 0.0206501
12900 0.0207884
13000 0.020883
13100 0.0209413
13200 0.0210113
13300 0.0211392
13400 0.0212869
13500 0.0213829
13600 0.0213791
13700 0.0213014
13800 0.0211661
13900 0.0209904
14000 0.0208774
14100 0.0208299
14200 0.0208298
14300 0.0208183
14400 0.02084
14500 0.0209804
14600 0.0212074
14700 0.0214996
14800 0.0217261
14900 0.0218672
15000 0.0219553
15100 0.0219314
15200 0.0218955
15300 0.0219253
15400 0.0218856
15500 0.0217939
15600 0.0217615
15700 0.021797
15800 0.0218068
15900 0.0217869
16000 0.0217474
16100 0.0216523
16200 0.0215551
16300 0.0214763
16400 0.0214694
16500 0.021606
16600 0.0218027
16700 0.0220185
16800 0.0221982
16900 0.0223325
17000 0.0224328
17100 0.0225516
17200 0.0227014
17300 0.0228239
17400 0.0228177
17500 0.0226845
17600 0.0224953
17700 0.0223516
17800 0.0222072
17900 0.0220767
18000 0.0220148
18100 0.0220145
18200 0.0220304
18300 0.0220616
18400 0.02216
18500 0.0223481
18600 0.0225722
18700 0.0227497
18800 0.0228993
18900 0.0230273
19000 0.0230383
19100 0.0229387
19200 0.0228041
19300 0.0227157
19400 0.0226344
19500 0.0225947
19600 0.0226228
19700 0.0225688
19800 0.022517
19900 0.0224883
20000 0.0224491
20100 0.0224022
20200 0.0223365
20300 0.0222975
20400 0.0223377
20500 0.0224453
20600 0.0225887
20700 0.022687
20800 0.0227037
20900 0.0227217
21000 0.0227278
21100 0.0226573
21200 0.0225654
21300 0.0225214
21400 0.022525
21500 0.0225501
21600 0.0225905
21700 0.022637
21800 0.0226516
21900 0.022626
22000 0.0225616
22100 0.0225092
22200 0.0225559
22300 0.0227009
22400 0.02283
22500 0.0229488
22600 0.0231649
22700 0.0233477
22800 0.0234519
22900 0.0233958
23000 0.0232619
23100 0.0231824
23200 0.0231545
23300 0.0231909
23400 0.0232306
23500 0.0232484
23600 0.0232361
23700 0.0232267
23800 0.0232835
23900 0.0233571
24000 0.0233708
24100 0.0233578
24200 0.0233818
24300 0.0234318
24400 0.0234889
24500 0.0234814
24600 0.0234116
24700 0.0233421
24800 0.0232208
24900 0.0230397
25000 0.0228282
25100 0.0226099
25200 0.0224518
25300 0.0223359
25400 0.0222129
25500 0.0221388
25600 0.022173
25700 0.022207
25800 0.0223289
25900 0.0226092
26000 0.0229264
26100 0.0232248
26200 0.023411
26300 0.0235402
26400 0.0236193
26500 0.0237205
26600 0.0238239
26700 0.0239555
26800 0.023996
26900 0.0238477
27000 0.0236791
27100 0.0236409
27200 0.0236109
27300 0.0235596
27400 0.0235395
27500 0.0235989
27600 0.023675
27700 0.0237533
27800 0.023739
27900 0.0236959
28000 0.0237952
28100 0.0239653
28200 0.0240223
28300 0.024025
28400 0.0240369
28500 0.0240904
28600 0.0241171
28700 0.0240981
28800 0.0240413
28900 0.0239855
29000 0.0239708
29100 0.0240577
29200 0.024185
29300 0.0241926
29400 0.0240687
29500 0.0239072
29600 0.0237958
29700 0.0236372
29800 0.0234031
29900 0.023156
30000 0.0230084
30100 0.0229798
30200 0.0230209
30300 0.0231024
30400 0.0231828
30500 0.0232458
30600 0.0232969
30700 0.0233625
30800 0.0234361
30900 0.0235919
31000 0.023804
31100 0.0239678
31200 0.0241192
31300 0.0243472
31400 0.0244925
31500 0.0244007
31600 0.0241781
31700 0.0239763
31800 0.0238595
31900 0.0237659
32000 0.0236618
32100 0.0235519
32200 0.0234697
32300 0.0233845
32400 0.0232784
32500 0.0230729
32600 0.0227833
32700 0.0225702
32800 0.0225053
32900 0.0224659
33000 0.0225044
33100 0.0226838
33200 0.0229671
33300 0.0233093
33400 0.0236928
33500 0.0239902
33600 0.0241032
33700 0.024129
33800 0.0241596
33900 0.0242124
34000 0.0242217
34100 0.0242064
34200 0.0242533
34300 0.0244481
34400 0.0245981
34500 0.0245686
34600 0.0243743
34700 0.0241398
34800 0.0239357
34900 0.02375
35000 0.0236221
35100 0.0235477
35200 0.0235931
35300 0.02375
35400 0.0238915
35500 0.0239794
35600 0.0240124
35700 0.023997
35800 0.0239746
35900 0.0238902
36000 0.0237698
36100 0.0236654
36200 0.023608
36300 0.0237144
36400 0.023827
36500 0.023904
36600 0.0239704
36700 0.0240243
36800 0.02413
36900 0.0242035
37000 0.0242993
37100 0.0243854
37200 0.0245619
37300 0.0248147
37400 0.0249254
37500 0.024913
37600 0.0248877
37700 0.0248413
37800 0.024764
37900 0.0247202
38000 0.0246082
38100 0.0243329
38200 0.0240958
38300 0.02403
38400 0.0239587
38500 0.0238518
38600 0.0237307
38700 0.0235643
38800 0.0234266
38900 0.0233838
39000 0.0234658
39100 0.0235884
39200 0.0237218
39300 0.0238613
39400 0.023972
39500 0.0240434
39600 0.0240752
39700 0.0240791
39800 0.0241318
39900 0.0242226
40000 0.0242976
40100 0.0244087
40200 0.0245738
40300 0.0247492
40400 0.0248945
40500 0.0249379
40600 0.0248265
40700 0.02471
40800 0.0246001
40900 0.0245627
41000 0.0245691
41100 0.024548
41200 0.0244742
41300 0.0244333
41400 0.0244027
41500 0.0244313
41600 0.0245122
41700 0.02462
41800 0.0246928
41900 0.0247352
42000 0.0247582
42100 0.0248304
42200 0.0247972
42300 0.0246738
42400 0.0246167
42500 0.0246286
42600 0.0245934
42700 0.02446
42800 0.0243092
42900 0.0242227
43000 0.0242752
43100 0.024385
43200 0.0244794
43300 0.0245068
43400 0.0245524
43500 0.0246372
43600 0.0247759
43700 0.0248721
43800 0.024877
43900 0.0248113
44000 0.0246372
44100 0.0244102
44200 0.0242252
44300 0.0240195
44400 0.0238143
44500 0.0237039
44600 0.0236466
44700 0.0236123
44800 0.0236541
44900 0.0237024
45000 0.0237296
45100 0.0237853
45200 0.0239052
45300 0.0241113
45400 0.0243387
45500 0.0244234
45600 0.0243569
45700 0.0241282
45800 0.0238646
45900 0.0236448
46000 0.0235109
46100 0.0235533
46200 0.0237182
46300 0.023825
46400 0.0238802
46500 0.0239549
46600 0.0240564
46700 0.0241338
46800 0.0242373
46900 0.0244023
47000 0.0245481
47100 0.0246712
47200 0.0247851
47300 0.0248656
47400 0.024911
47500 0.0249488
47600 0.0249526
47700 0.0248711
47800 0.0247447
47900 0.0246166
48000 0.0245299
48100 0.0245101
48200 0.024499
48300 0.0245356
48400 0.0245731
48500 0.0245334
48600 0.0244313
48700 0.0243411
48800 0.0243069
48900 0.0243155
49000 0.0242712
49100 0.0242033
49200 0.0241849
49300 0.0242012
49400 0.0243079
49500 0.024504
49600 0.0247832
49700 0.0249831
49800 0.025072
49900 0.025061
50000 0.0249851
