# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 11.0159
200 46.437
300 87.9082
400 118.801
500 154.649
600 191.406
700 225.167
800 268.093
900 293.301
1000 312.595
1100 309.23
1200 305.835
1300 292.835
1400 293.734
1500 300.152
1600 300.57
1700 311.904
1800 300.368
1900 295.173
2000 301.171
2100 303.684
2200 292.523
2300 293.493
2400 305.929
2500 301.388
2600 305.455
2700 298.922
2800 289.783
2900 301.691
3000 308.122
3100 303.485
3200 299.639
3300 297.592
3400 294.439
3500 302.822
3600 302.692
3700 300.77
3800 297.374
3900 293.01
4000 300.492
4100 307.389
4200 310.77
4300 303.442
4400 291.735
4500 292.51
4600 303.012
4700 302.393
4800 302.332
4900 301.236
5000 299.51
5100 295.56
5200 298.074
5300 303.438
5400 313.153
5500 300.522
5600 294.259
5700 290.936
5800 300.782
5900 303.215
6000 304.897
6100 297.743
6200 293.084
6300 306.968
6400 304.476
6500 301.859
6600 292.377
6700 296.013
6800 306.525
6900 308.481
7000 295.443
7100 292.953
7200 298.221
7300 301.634
7400 300.484
7500 300.134
7600 304.605
7700 299.73
7800 291.734
7900 293.993
8000 301.824
8100 307.112
8200 301.483
8300 303.583
8400 298.579
8500 294.951
8600 300.916
8700 303.395
8800 301.622
8900 299.38
9000 300.637
9100 302.688
9200 294.681
9300 291.482
9400 294.805
9500 303.16
9600 307.246
9700 299.71
9800 298.253
9900 290.352
10000 289.582
10100 300.471
10200 299.578
10300 300.174
10400 301.31
10500 287.384
10600 279.649
10700 297.782
10800 299.842
10900 311.802
11000 305.757
11100 294.642
11200 299.678
11300 299.657
11400 305.403
11500 310.816
11600 307.828
11700 299.652
11800 292.041
11900 304.923
12000 298.075
12100 297.424
12200 309.044
12300 306.188
12400 298.113
12500 296.045
12600 300.402
12700 304.857
12800 313.749
12900 301.421
13000 301.94
13100 306.169
13200 296.661
13300 294.463
13400 301.26
13500 310.227
13600 307.93
13700 303.337
13800 296.951
13900 299.95
14000 298.394
14100 307.068
14200 307.103
14300 297.731
14400 286.637
14500 283.998
14600 300.709
14700 306.364
14800 297.864
14900 297.832
15000 300.902
15100 295.883
15200 303.514
15300 307.464
15400 295.14
15500 293.747
15600 298.52
15700 309.933
15800 309.053
15900 300.986
16000 298.781
16100 300.396
16200 293.624
16300 308.008
16400 309.386
16500 300.677
16600 296.924
16700 294.767
16800 298.416
16900 302.537
17000 312.648
17100 307.804
17200 295.424
17300 302.216
17400 305.809
17500 297.26
17600 290.836
17700 301.4
17800 303.692
17900 293.935
18000 288.032
18100 300.979
18200 311.074
18300 301.723
18400 294.005
18500 299.829
18600 303.785
18700 303.089
18800 296.305
18900 305.094
19000 301.826
19100 283.847
19200 291.441
19300 300.982
19400 306.588
19500 298.436
19600 288.782
19700 298.208
19800 309.437
19900 303.991
20000 299.625
20100 295.595
20200 309.322
20300 306.772
20400 298.754
20500 301.304
20600 298.749
20700 301.564
20800 300.442
20900 295.356
21000 294.089
21100 298.435
21200 299.213
21300 298.266
21400 301.417
21500 303.631
21600 311.457
21700 308.581
21800 302.065
21900 297.199
22000 295.801
22100 297.751
22200 308.667
22300 302.962
22400 301.237
22500 301.725
22600 306.639
22700 292.887
22800 290.535
22900 297.46
23000 298.85
23100 294.677
23200 291.518
23300 305.18
23400 304.894
23500 295.3
23600 298.102
23700 300.276
23800 306.528
23900 301.877
24000 290.988
24100 288.171
24200 293.565
24300 310.739
24400 300.159
24500 307.123
24600 299.67
24700 291.176
24800 295.523
24900 299.342
25000 302.945
25100 305.899
25200 299.063
25300 298.796
25400 303.698
25500 285.345
25600 287.918
25700 292.52
25800 290.249
25900 299.325
26000 300.462
26100 306.779
26200 294.315
26300 294.043
26400 295.217
26500 299.172
26600 300.673
26700 312.009
26800 302.563
26900 296.913
27000 293.556
27100 297.923
27200 303.617
27300 302.738
27400 291.421
27500 302.821
27600 311.364
27700 315.437
27800 305.795
27900 305.136
28000 301.557
28100 294.973
28200 295.187
28300 300.927
28400 302.784
28500 301.302
28600 297.928
28700 287.901
28800 290.166
28900 302.717
29000 300.355
29100 302.758
29200 296.295
29300 296.987
29400 298.335
29500 304.17
29600 306.244
29700 299.637
29800 294.01
29900 299.852
30000 297.817
30100 297.178
30200 307.208
30300 312.619
30400 302.79
30500 301.614
30600 298.406
30700 299.659
30800 296.407
30900 299.175
31000 297.782
31100 305.282
31200 324.208
31300 320.739
31400 298.709
31500 296.571
31600 301.13
31700 303.459
31800 302.962
31900 286.322
32000 296.691
32100 299.177
32200 294.476
32300 297.348
32400 306.407
32500 317.068
32600 316.751
32700 305.448
32800 309.045
32900 299.584
33000 300.559
33100 304.224
33200 306.266
33300 307.718
33400 292.918
33500 293.132
33600 301.846
33700 300.494
33800 284.909
33900 286.922
34000 303.312
34100 305.941
34200 299.048
34300 297.283
34400 297.297
34500 299.978
34600 303.8
34700 304.445
34800 296.814
34900 299.046
35000 295.455
35100 306.969
35200 309.932
35300 306.595
35400 296.358
35500 290.999
35600 304.934
35700 311.31
35800 299.537
35900 292.748
36000 297.884
36100 304.142
36200 305.325
36300 298.527
36400 289.907
36500 292.636
36600 300.948
36700 304.055
36800 301.821
36900 307.199
37000 296.495
37100 297.768
37200 300.007
37300 303.107
37400 314.349
37500 304.921
37600 298.284
37700 296.31
37800 296.548
37900 310.509
38000 301.548
38100 291.425
38200 300.491
38300 295.815
38400 295.164
38500 306.152
38600 308.91
38700 294.393
38800 297.335
38900 300.735
39000 304.172
39100 301.918
39200 309.074
39300 295.312
39400 293.631
39500 310.844
39600 300.793
39700 297.255
39800 299.439
39900 301.759
40000 300.644
40100 302.591
40200 295.186
40300 294.397
40400 305.372
40500 303.654
40600 304.247
40700 290.819
40800 298.755
40900 299.486
41000 301.732
41100 314.109
41200 321.454
41300 302.775
41400 297.843
41500 293.155
41600 297.182
41700 309.008
41800 301.328
41900 286.706
42000 286.753
42100 277.785
42200 289.524
42300 304.423
42400 302.087
42500 300.786
42600 291.621
42700 288.817
42800 304.23
42900 304.637
43000 300.874
43100 296.623
43200 296.583
43300 302.947
43400 305.766
43500 303.984
43600 303.082
43700 296.156
43800 297.618
43900 308.659
44000 303.305
44100 298.499
44200 295.427
44300 289.2
44400 289.271
44500 302.934
44600 303.76
44700 303.812
44800 295.447
44900 299.037
45000 297.271
45100 288.463
45200 296.359
45300 299.552
45400 297.65
45500 298.771
45600 298.682
45700 304.712
45800 310.296
45900 304.358
46000 298.465
46100 302.663
46200 298.516
46300 296.077
46400 302.106
46500 311.246
46600 306.64
46700 300.938
46800 299.211
46900 295.452
47000 303.252
47100 300.867
47200 294.495
47300 289.296
47400 293.343
