# Time-averaged data for fix myat2
# TimeStep v_myvol
100 26842.5
200 26120.1
300 25300.9
400 24699.5
500 24189.9
600 23775.3
700 23447.9
800 23216.2
900 23102.1
1000 23126.7
1100 23277.3
1200 23426.5
1300 23514.7
1400 23660.8
1500 23887.1
1600 24091.7
1700 24319.3
1800 24551.8
1900 24765.2
2000 24890.4
2100 24960.5
2200 25080
2300 25166.5
2400 25247.4
2500 25391.7
2600 25557.6
2700 25764.1
2800 25889.2
2900 25904.2
3000 25888.4
3100 25833.7
3200 25708.5
3300 25553
3400 25374.6
3500 25160.7
3600 25000.3
3700 24893.4
3800 24828.1
3900 24737.4
4000 24594.7
4100 24430.5
4200 24204.4
4300 23950.8
4400 23663
4500 23335.6
4600 22981.2
4700 22693.4
4800 22463.7
4900 22263.3
5000 22097.6
5100 21959.4
5200 21857.7
5300 21733
5400 21503.2
5500 21278.7
5600 21044.5
5700 20877.1
5800 20824.8
5900 20831.1
6000 20855.7
6100 20853.5
6200 20779.7
6300 20622.1
6400 20426.7
6500 20265.1
6600 20191
6700 20180.7
6800 20180.8
6900 20223.2
7000 20298.7
7100 20394.3
7200 20535.7
7300 20715.6
7400 20832.6
7500 20825.5
7600 20737.4
7700 20631.8
7800 20526.8
7900 20429.3
8000 20291.1
8100 20113.7
8200 19947.8
8300 19765.3
8400 19615.4
8500 19493.1
8600 19377.7
8700 19272.8
8800 19211
8900 19140
9000 19023
9100 18901.2
9200 18828.6
9300 18778.6
9400 18662.3
9500 18544.7
9600 18483.1
9700 18365.1
9800 18202.1
9900 18033.7
10000 17799.2
10100 17537.9
10200 17313.2
10300 17158.6
10400 17099.8
10500 17038.9
10600 16851
10700 16636.3
10800 16419.3
10900 16289.6
11000 16259.9
11100 16285.7
11200 16302.9
11300 16354.1
11400 16489.5
11500 16635
11600 16814.3
11700 16969.6
11800 17057.3
11900 17112.3
12000 17138.3
12100 17105.4
12200 17097.5
12300 17135.6
12400 17152.6
12500 17146
12600 17113.6
12700 17044.5
12800 16957.7
12900 16883.2
13000 16828
13100 16758.8
13200 16672.1
13300 16601.7
13400 16527.4
13500 16487.3
13600 16458.5
13700 16435.1
13800 16460.6
13900 16507.1
14000 16551.9
14100 16634.7
14200 16739.4
14300 16847
14400 16937.9
14500 16965.7
14600 16885.2
14700 16817.6
14800 16784.8
14900 16770.4
15000 16748.6
15100 16725.5
15200 16683.1
15300 16617.3
15400 16588
15500 16484.9
15600 16307.6
15700 16147.2
15800 16019.3
15900 15932.9
16000 15871.4
16100 15847.4
16200 15919.7
16300 15992.5
16400 16043.4
16500 16126
16600 16232.3
16700 16316.1
16800 16389
16900 16399.3
17000 16417.2
17100 16422.4
17200 16356.2
17300 16203.4
17400 16008.6
17500 15799.2
17600 15641.5
17700 15549.8
17800 15485
17900 15425.7
18000 15346
18100 15217.2
18200 15046.1
18300 14882.6
18400 14800.3
18500 14794.6
18600 14826.9
18700 14861.3
18800 14920.7
18900 14978
19000 15102.8
19100 15283.4
19200 15372.8
19300 15393.7
19400 15440
19500 15489.9
19600 15532.2
19700 15522.5
19800 15450.8
19900 15401.5
20000 15358.5
20100 15339.1
20200 15332.4
20300 15293.3
20400 15257.9
20500 15212.6
20600 15191.4
20700 15168
20800 15148.7
20900 15159.5
21000 15162.6
21100 15158.1
21200 15120.4
21300 15076.1
21400 15060.7
21500 15082.6
21600 15179.9
21700 15304.8
21800 15410.5
21900 15459.2
22000 15423.5
22100 15375.8
22200 15319.5
22300 15226.1
22400 15072.7
22500 14898.9
22600 14752.7
22700 14689.6
22800 14669.4
22900 14685.6
23000 14773.9
23100 14899.6
23200 15022
23300 15142.2
23400 15288.3
23500 15423.9
23600 15520.2
23700 15600.8
23800 15612.9
23900 15507.1
24000 15326.7
24100 15178.5
24200 15080.6
24300 14983.7
24400 14893
24500 14792.2
24600 14673
24700 14550.7
24800 14401
24900 14323.4
25000 14378.1
25100 14468
25200 14574.6
25300 14648.5
25400 14713.2
25500 14796.1
25600 14851.2
25700 14903
25800 14904.2
25900 14828.1
26000 14743.2
26100 14662.9
26200 14577.2
26300 14484.7
26400 14428.8
26500 14362.5
26600 14295.9
26700 14256
26800 14250.8
26900 14292.3
27000 14395.9
27100 14534.5
27200 14724.4
27300 14894.9
27400 14976.5
27500 14982.3
27600 14978.3
27700 14940.1
27800 14900.5
27900 14898.9
28000 14922.2
28100 14960.3
28200 14984.5
28300 15023.8
28400 15060.1
28500 15047.3
28600 14997.5
28700 14945.6
