# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -3540.15
200 -3841.13
300 -3330.72
400 -3479.48
500 -3690.81
600 -3370.27
700 -3055.83
800 -3467.29
900 -3759.41
1000 -3679.91
1100 -3623.18
1200 -3314.79
1300 -3207.92
1400 -3457.03
1500 -3351.8
1600 -3453.1
1700 -3494.08
1800 -3679.2
1900 -3628.35
2000 -3804.96
2100 -3999.47
2200 -3676.22
2300 -3603.58
2400 -3915.93
2500 -3901.72
2600 -3213.95
2700 -3139.05
2800 -3471.09
2900 -3624.94
3000 -3721.54
3100 -4038.28
3200 -3573.67
3300 -3304.81
3400 -3555.06
3500 -3729.23
3600 -4006.05
3700 -4142.58
3800 -3881.98
3900 -3572.89
4000 -3264.31
4100 -3230.65
4200 -3213.31
4300 -3310.51
4400 -3487.11
4500 -3464.94
4600 -3269.43
4700 -3414.28
4800 -2900.78
4900 -3055.47
5000 -3048.69
5100 -3273.01
5200 -3216.45
5300 -2995.29
5400 -2943.35
5500 -3282.17
5600 -3596.92
5700 -3846.46
5800 -3867.31
5900 -3865.23
6000 -4074.32
6100 -4358.32
6200 -3956.69
6300 -3635.02
6400 -3493.14
6500 -3067.22
6600 -2673.52
6700 -3304.82
6800 -3848.68
6900 -3878.84
7000 -3556.83
7100 -3371.02
7200 -3592.58
7300 -3530.94
7400 -3750.71
7500 -3525.17
7600 -3088.57
7700 -3185.2
7800 -3192.01
7900 -3135.9
8000 -3104.72
8100 -3522.39
8200 -3418.11
8300 -3256.16
8400 -3220.52
8500 -3317.41
8600 -3599.38
8700 -3753.26
8800 -3544.72
8900 -2946.54
9000 -2936.67
9100 -3120.44
9200 -3202.11
9300 -3518.82
9400 -3459.4
9500 -3118.32
9600 -3167.07
9700 -3345.66
9800 -3598.33
9900 -3997.16
10000 -3762.16
