# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 305.911
200 300.502
300 297.887
400 297.524
500 297.003
600 301.033
700 305.84
800 298.816
900 296.788
1000 300.028
1100 302.565
1200 302.387
1300 299.658
1400 301.182
1500 296.762
1600 295.22
1700 298.905
1800 298.652
1900 300.367
2000 302.616
2100 303.752
2200 297.457
2300 296.25
2400 300.217
2500 299.827
2600 305.394
2700 309.49
2800 310.99
2900 303.24
3000 301.27
3100 299.894
3200 300.726
3300 299.92
3400 302.025
3500 306.418
3600 300.749
3700 296.004
3800 302.387
3900 299.316
4000 297.05
4100 303.24
4200 302.401
4300 299.96
4400 297.735
4500 299.083
4600 298.007
4700 297.115
4800 301.698
4900 309.045
5000 298.301
5100 296.444
5200 299.915
5300 304.116
5400 306.324
5500 295.514
5600 295.226
5700 300.431
5800 301.318
5900 298.622
6000 290.597
6100 292.944
6200 297.091
6300 299.857
6400 301.156
6500 306.624
6600 300.941
6700 295.345
6800 300.875
6900 301.709
7000 299.006
7100 306.908
7200 301.769
7300 296.261
7400 295.15
7500 302.079
7600 304.183
7700 303.409
7800 301.539
7900 301.409
8000 295.209
8100 292.317
8200 292.813
8300 301.608
8400 305.511
8500 301.1
8600 292.851
8700 292.444
8800 298.724
8900 302.782
9000 300.401
9100 297.275
9200 293.585
9300 299.586
9400 304.606
9500 303.932
9600 297.445
9700 301.339
9800 295.122
9900 294.781
10000 304.152
