# Time-averaged data for fix myat2
# TimeStep v_myvol
100 42087.9
200 42110.7
300 42165
400 42273.6
500 42378
600 42426.6
700 42441.6
800 42478.5
900 42526.3
1000 42587.6
1100 42636.2
1200 42671
1300 42756.8
1400 42926.4
1500 43097.6
1600 43245
1700 43327.7
1800 43382.5
1900 43440
2000 43462
2100 43445.7
2200 43373.6
2300 43290.3
2400 43182.6
2500 43021.3
2600 42844.9
2700 42710.3
2800 42620
2900 42529.3
3000 42422.1
3100 42337
3200 42268.9
3300 42242
3400 42256.4
3500 42290.4
3600 42320.6
3700 42339
3800 42315.1
3900 42322.2
4000 42378.7
4100 42453.1
4200 42521.7
4300 42583.5
4400 42627.8
4500 42655.7
4600 42635.7
4700 42599.3
4800 42568.7
4900 42631.1
5000 42741.8
5100 42825.9
5200 42879.5
5300 42930.9
5400 42960.6
5500 42977.4
5600 42934.3
5700 42832.4
5800 42743.5
5900 42676.4
6000 42637.6
6100 42605.9
6200 42540.5
6300 42462.5
6400 42374.8
6500 42284.6
6600 42221.8
6700 42167.1
6800 42137.9
6900 42098.8
7000 42027
7100 41903.4
7200 41780.4
7300 41688.8
7400 41643.5
7500 41638.9
7600 41674.9
7700 41720.7
7800 41791.5
7900 41898
8000 42034.2
8100 42162.8
8200 42210.2
8300 42200.2
8400 42188.4
8500 42220.5
8600 42271.2
8700 42286.3
8800 42243.2
8900 42186.5
9000 42164.9
9100 42133.5
9200 42082.3
9300 42009.6
9400 41918.4
9500 41832.7
9600 41732.4
9700 41649.1
9800 41617.3
9900 41622.8
10000 41635.3
