# Time-averaged data for fix myat2
# TimeStep v_delta_r
100 23.6611
200 23.6262
300 23.6349
400 22.6884
500 21.9686
600 22.461
700 22.9287
800 23.4753
900 24.1707
1000 24.8688
1100 25.8272
1200 26.4644
1300 26.3372
1400 25.3673
1500 25.554
1600 25.9571
1700 26.2617
1800 26.3543
1900 26.6435
2000 27.0115
2100 27.0629
2200 27.2609
2300 27.5241
2400 27.7944
2500 27.5042
2600 26.9076
2700 26.3045
2800 25.8561
2900 25.7176
3000 25.055
3100 24.4078
3200 24.4562
3300 24.7503
3400 25.3124
3500 25.764
3600 25.8132
3700 26.1885
3800 26.0928
3900 26.0934
4000 25.745
4100 25.3788
4200 25.3797
4300 25.2069
4400 25.6113
4500 26.3433
4600 26.5317
4700 26.7305
4800 26.4959
4900 26.0343
5000 26.1474
5100 25.9033
5200 25.8774
5300 26.5906
5400 27.1392
5500 27.3775
5600 27.5421
5700 27.7947
5800 27.7185
5900 27.5039
6000 27.1197
6100 26.4679
6200 26.1255
6300 26.0482
6400 26.0562
6500 26.1707
6600 26.5603
6700 26.3848
6800 26.1307
6900 25.5192
7000 24.8997
7100 24.1929
7200 23.8429
7300 23.5099
7400 23.0239
7500 22.7527
7600 22.2048
7700 21.5986
7800 21.8628
7900 22.634
8000 23.2935
8100 23.5887
8200 23.6996
8300 23.6231
8400 23.6745
8500 23.5511
8600 24.0169
8700 24.9866
8800 25.5868
8900 25.861
9000 26.6083
9100 26.1691
9200 25.9288
9300 26.1419
9400 25.9504
9500 25.5941
9600 25.3372
9700 24.8321
9800 24.4956
9900 24.2043
10000 24.3561
10100 24.8598
10200 24.9507
10300 24.6364
10400 24.4494
10500 24.185
10600 23.0764
10700 22.1972
10800 22.3394
10900 22.6864
11000 22.8424
11100 23.0798
11200 23.841
11300 24.4301
11400 24.3204
11500 24.4413
11600 24.6239
11700 24.3892
11800 23.9202
11900 24.0457
12000 24.4919
12100 24.6592
12200 24.0373
12300 23.6869
12400 23.4535
12500 23.0438
12600 23.3022
12700 24.1795
12800 24.6607
12900 24.5857
13000 24.1146
13100 24.7692
13200 24.8917
13300 24.2174
13400 24.8788
13500 25.1405
13600 25.1564
13700 25.273
13800 25.6366
13900 25.3127
14000 24.7699
14100 24.3102
14200 23.9515
14300 23.6773
14400 23.5337
14500 23.4742
14600 23.1456
14700 22.6459
14800 22.0622
14900 22.0074
15000 22.0145
15100 22.1683
15200 22.1088
15300 20.9289
15400 19.7469
15500 19.6156
15600 19.6814
15700 19.1014
15800 18.6035
15900 17.9793
16000 17.4822
16100 17.0736
16200 17.2751
16300 17.7701
16400 17.9861
16500 17.8741
16600 17.3747
16700 16.9046
16800 16.4304
16900 15.6731
17000 15.2492
17100 15.233
17200 15.5487
17300 15.8184
17400 16.1279
17500 16.2495
17600 16.1707
17700 16.5024
17800 16.269
17900 16.4697
18000 16.6738
18100 16.9733
18200 17.2383
18300 17.0885
18400 16.605
18500 16.4353
18600 16.1884
18700 15.8837
18800 15.8565
18900 15.7833
19000 15.4537
19100 15.2599
19200 15.3104
19300 15.3074
19400 15.4919
19500 15.1025
19600 14.7358
19700 14.7109
19800 15.3062
19900 15.423
20000 15.5679
20100 15.8353
20200 16.3059
20300 16.386
20400 15.8022
20500 15.4428
20600 16.2243
20700 16.777
20800 16.3505
20900 15.4027
21000 14.3632
21100 13.6552
21200 12.8561
21300 12.2562
21400 11.621
21500 11.5769
21600 11.7168
21700 12.1287
21800 12.771
21900 12.7663
22000 12.7408
22100 12.9858
22200 13.269
22300 13.6222
22400 13.7717
22500 13.2219
22600 12.5853
22700 12.1587
22800 11.6081
22900 11.236
23000 11.3163
23100 11.6423
23200 11.9304
23300 12.0805
23400 12.0153
23500 12.5269
23600 13.1012
23700 13.3553
23800 13.5389
23900 13.9327
24000 14.4473
24100 14.7772
24200 15.2468
24300 15.8986
24400 17.0146
24500 17.8441
24600 17.94
24700 17.3271
24800 17.118
24900 17.1383
25000 16.8891
25100 16.656
25200 16.9453
25300 16.9584
25400 16.3154
25500 15.7184
25600 15.4685
25700 15.6867
25800 15.4069
25900 15.5457
26000 15.6759
26100 15.0326
26200 14.6135
26300 14.7436
26400 15.3088
26500 15.9312
26600 15.8043
26700 15.8448
26800 15.8088
26900 15.477
27000 15.2145
27100 15.2331
27200 15.1765
27300 15.2677
27400 14.284
27500 13.9434
27600 13.8987
27700 13.8049
27800 14.2168
27900 14.0614
28000 14.2334
28100 14.1404
28200 14.1832
28300 14.0853
28400 13.7002
28500 13.0134
28600 12.3228
28700 11.3318
28800 11.4292
28900 12.1914
29000 12.4263
29100 13.01
29200 13.785
29300 14.32
29400 14.0657
29500 13.7111
29600 13.8476
29700 13.8909
29800 13.5458
29900 13.3236
30000 13.5654
30100 13.1986
30200 12.1632
30300 11.3849
30400 10.9407
30500 10.924
30600 9.85885
30700 8.86947
30800 9.44289
30900 9.94843
31000 9.73219
31100 9.7141
31200 9.99806
31300 10.5842
31400 10.958
31500 11.7113
31600 12.6541
31700 13.2346
31800 14.138
31900 15.117
32000 15.8518
32100 16.1635
32200 16.1746
32300 17.0522
32400 18.3752
32500 19.4914
32600 20.1397
32700 20.9116
32800 21.7422
32900 22.2214
33000 22.7569
33100 23.4459
33200 24.0573
33300 24.6256
33400 25.5011
33500 26.3117
33600 26.9737
33700 27.9497
33800 29.0789
33900 30.1348
34000 30.7478
34100 31.2654
34200 32.2245
34300 32.7321
34400 32.545
34500 32.4312
34600 32.4214
34700 32.4184
34800 31.823
34900 32.0679
35000 31.9121
35100 32.1928
35200 32.6506
35300 32.6346
35400 32.4311
35500 32.2002
35600 32.2571
35700 32.6527
35800 32.6952
35900 32.382
36000 31.9154
36100 31.9223
36200 32.441
36300 32.6527
36400 32.2033
36500 32.0522
36600 31.8149
36700 32.2969
36800 32.0546
36900 32.4137
37000 32.8161
37100 33.0803
37200 32.9371
37300 32.7127
37400 32.8318
37500 32.9919
37600 33.1621
37700 33.4676
37800 33.5236
37900 33.5999
38000 33.8287
38100 33.728
38200 33.6801
38300 33.8901
38400 33.9085
38500 33.8852
38600 33.4433
38700 33.4138
38800 33.4774
38900 33.6719
39000 33.9865
39100 33.9397
39200 33.8929
39300 33.7707
39400 33.8697
39500 33.699
39600 33.5173
39700 33.6774
39800 33.6043
39900 33.7258
40000 33.6257
40100 33.4541
40200 33.8527
40300 33.7279
40400 33.7918
40500 33.8732
40600 33.6248
40700 33.2406
40800 33.289
