# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 300.331
200 300.766
300 295.746
400 296.977
500 299.378
600 303.664
700 299.588
800 298.114
900 295.038
1000 296.311
1100 295.54
1200 299.71
1300 299.808
1400 299.222
1500 302.905
1600 302.393
1700 296.337
1800 295.209
1900 295.827
2000 299.324
2100 300.768
2200 298.621
2300 298.533
2400 295.938
2500 295.85
2600 297.202
2700 301.962
2800 300.837
2900 297.414
3000 306.965
3100 306.06
3200 302.08
3300 297.746
3400 297.739
3500 303.092
3600 302.658
3700 304.813
3800 298.606
3900 296.979
4000 300.284
4100 302.458
4200 302.323
4300 301.623
4400 301.817
4500 291.263
4600 296.318
4700 299.793
4800 298.074
4900 298.208
5000 300.714
5100 300.957
5200 301.147
5300 294.575
5400 297.518
5500 306.767
5600 300.91
5700 302.61
5800 300.123
5900 295.867
6000 297.491
6100 301.875
6200 304.032
6300 304.001
6400 296.511
6500 292.739
6600 299.816
6700 300.939
6800 298.52
6900 301.165
7000 302.025
7100 302.567
7200 301.533
7300 294.178
7400 296.169
7500 304.309
7600 304.997
7700 300.272
7800 303.627
7900 298.49
8000 299.13
8100 301.225
8200 293.36
8300 297.039
8400 300.828
8500 302.994
8600 301.446
8700 297.497
8800 294.228
8900 297.022
9000 303.549
9100 305.59
9200 303.004
9300 300.926
9400 299.916
9500 301.489
9600 300.564
9700 297.559
9800 304.067
9900 301.174
10000 294.234
10100 294.32
10200 302.123
10300 300.503
10400 301.804
10500 291.545
10600 294.175
10700 297.482
10800 302.42
10900 299.471
11000 293.784
11100 303.963
11200 304.921
11300 300.601
11400 298.508
11500 298.998
11600 299.413
11700 305.161
11800 306.668
11900 300.69
12000 297.918
12100 299.593
12200 298.289
12300 304.426
12400 303.076
12500 300.696
12600 302.41
12700 302.351
12800 299.14
12900 293.901
13000 301.333
13100 299.896
13200 302.956
13300 298.425
13400 292.72
13500 299.4
13600 302.313
13700 307.093
13800 298.274
13900 298.25
14000 300.315
14100 302.901
14200 302.092
14300 307.873
14400 305.897
14500 296.787
14600 299.921
14700 299.346
14800 293.303
14900 299.454
15000 304.1
15100 302.52
15200 301.838
15300 299.441
15400 301.113
15500 296.736
15600 301.213
15700 306.926
15800 304.586
15900 297.701
16000 297.444
16100 301.624
16200 301.758
16300 302.146
16400 301.519
16500 301.429
16600 300.019
16700 294.094
16800 295.825
16900 303.898
17000 305.804
17100 301.856
17200 299.975
17300 302.952
17400 307.717
17500 306.299
17600 305.866
17700 300.46
17800 295.578
17900 298.306
18000 305.178
18100 305.568
18200 301.497
18300 299.16
18400 298.068
18500 298.289
18600 304.883
18700 303.991
18800 299.833
18900 297.586
19000 296.968
19100 299.211
19200 306.232
19300 299.544
19400 295.164
19500 291.667
19600 290.94
19700 297.814
19800 298.536
19900 302.605
20000 304.237
20100 301.068
20200 291.247
20300 296.691
20400 304.032
20500 303.985
20600 298.358
20700 298.429
20800 299.168
20900 299.779
21000 301.517
21100 297.972
21200 297.346
21300 297.359
21400 298.775
21500 304.463
21600 301.66
21700 300.437
21800 301.57
21900 300.446
22000 292.405
22100 293.696
22200 299.813
22300 299.769
22400 301.474
22500 303.09
22600 299.131
22700 294.683
22800 301.375
22900 302.783
23000 302.34
23100 299.091
23200 297.287
23300 298.359
23400 302.103
23500 301.852
23600 302.697
23700 302.237
23800 295.431
23900 295.775
24000 300.236
24100 305.252
24200 300.067
24300 294.493
24400 293.403
24500 301.319
24600 301.013
24700 298.366
24800 294.45
24900 299.35
25000 301.508
25100 301.166
25200 305.814
25300 299.283
25400 296.946
25500 300.024
25600 299.256
25700 299.526
25800 301.609
25900 301.215
26000 300.259
26100 300.209
26200 293.534
26300 299.918
26400 305.604
26500 298.659
26600 303.15
26700 301.009
26800 294.36
26900 299.289
27000 300.148
27100 301.046
27200 300.433
27300 297.979
27400 297.943
27500 298.198
27600 299.592
27700 301.975
27800 303.249
27900 298.837
28000 295.678
28100 300.494
28200 304.288
28300 301.163
28400 297.931
28500 298.253
28600 299.826
28700 312.196
28800 305.362
28900 298.112
29000 298.899
29100 302.003
29200 303.184
29300 306.062
29400 301.594
29500 296.584
29600 295.452
