# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 92.1334
200 197.161
300 244.106
400 269.078
500 276.475
600 282.017
700 276.8
800 292.597
900 290.921
1000 292.423
1100 300.313
1200 300.257
1300 292.81
1400 301.338
1500 294.305
1600 303.134
1700 281.447
1800 297.843
1900 316.269
2000 294.199
2100 298.807
2200 299.831
2300 301.659
2400 298.575
2500 300.148
2600 318.279
2700 299.68
2800 303.774
2900 302.816
3000 298.591
3100 303.608
3200 291.096
3300 295.38
3400 302.924
3500 310.42
3600 296.511
3700 295.131
3800 305.736
3900 309.512
4000 296.643
4100 294.996
4200 292.428
4300 305.263
4400 298.739
4500 308.108
4600 294.662
4700 303.222
4800 297.787
4900 301.042
5000 314.077
5100 295.79
5200 284.509
5300 290.313
5400 295.504
5500 309.525
5600 299.277
5700 299.481
5800 299.222
5900 292.122
6000 294.899
6100 298.831
6200 290.489
6300 291.5
6400 296.009
6500 300.335
6600 312.368
6700 302.321
6800 292.577
6900 306.925
7000 294.177
7100 302.443
7200 304.37
7300 287.592
7400 298.633
7500 287.063
7600 299.143
7700 307.389
7800 291.475
7900 301.426
8000 319.271
8100 288.008
8200 297.522
8300 301.524
8400 309.196
8500 302.593
8600 287.216
8700 298.41
8800 298.11
8900 307.608
9000 296.192
9100 304.656
9200 301.407
9300 302.038
9400 304.347
9500 305.525
9600 283.009
9700 313.389
9800 301.363
9900 304.92
10000 289.423
