# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 316.01
200 318.198
300 313.944
400 314.451
500 316.355
600 313.762
700 306.964
800 303.993
900 309.929
1000 301.17
1100 306.214
1200 291.965
1300 289.621
1400 296.766
1500 300.365
1600 299.988
1700 296.29
1800 300.466
1900 303.127
2000 299.418
2100 302.171
2200 303.24
2300 300.152
2400 300.362
2500 299.161
2600 295.037
2700 301.623
2800 302.359
2900 304.444
3000 299.615
3100 299.631
3200 296.394
3300 294.121
3400 295.821
3500 293.346
3600 289.541
3700 290.513
3800 291.924
3900 290.624
4000 295.393
4100 297.74
4200 299.438
4300 306.867
4400 310.505
4500 301.691
4600 305.529
4700 302.197
4800 309.194
4900 295.24
5000 294.587
5100 296.461
5200 297.861
5300 299.837
5400 295.555
5500 294.364
5600 300.858
5700 302.456
5800 297.292
5900 300.756
6000 302.473
6100 302.461
6200 296.593
6300 301.862
6400 303.862
6500 305.54
6600 313.753
6700 307.653
6800 300.913
6900 304.142
7000 299.715
7100 298.747
7200 291.11
7300 286.004
7400 289.571
7500 292.169
7600 286.661
7700 302.426
7800 292.204
7900 303.92
8000 297.732
8100 305.95
8200 301.6
8300 297.641
8400 296.651
8500 302.935
8600 300.435
8700 305.336
8800 313.273
8900 308.219
9000 300.957
9100 307.415
9200 309.77
9300 309.524
9400 316.006
9500 313.007
9600 301.194
9700 302.877
9800 297.228
9900 293.291
10000 284.453
