# Time-averaged data for fix myat2
# TimeStep v_myvol
100 14428
200 14429.2
300 14431.4
400 14435.8
500 14442.9
600 14450.9
700 14458.2
800 14464.6
900 14469.7
1000 14473.8
1100 14477.8
1200 14481.3
1300 14483.4
1400 14484.3
1500 14483.8
1600 14481.3
1700 14477
1800 14471
1900 14464.1
2000 14456.3
2100 14448.2
2200 14440.6
2300 14433
2400 14424.5
2500 14413.6
2600 14401.3
2700 14389.3
2800 14377.5
2900 14364.9
3000 14351.1
3100 14337.2
3200 14322.7
3300 14306.4
3400 14288.5
3500 14269.5
3600 14249.1
3700 14228
3800 14206.8
3900 14185.6
4000 14165
4100 14145.4
4200 14127
4300 14109.7
4400 14093.6
4500 14078.5
4600 14064.9
4700 14052.7
4800 14042.4
4900 14033
5000 14024
5100 14014.5
5200 14003.6
5300 13991.4
5400 13979.3
5500 13968
5600 13957.2
5700 13946.7
5800 13936.6
5900 13927.1
6000 13917.9
6100 13908.6
6200 13899.5
6300 13891.8
6400 13885.1
6500 13879.1
6600 13873.7
6700 13868.2
6800 13861.6
6900 13854.8
7000 13848.1
7100 13841.1
7200 13833.3
7300 13824.9
7400 13816.5
7500 13808.1
7600 13799.6
7700 13790.9
7800 13782.5
7900 13775
8000 13768.8
8100 13763.7
8200 13759.1
8300 13754.9
8400 13751.5
8500 13749.5
8600 13748.1
8700 13747.4
8800 13747.7
8900 13749.3
9000 13752.8
9100 13757
9200 13760.5
9300 13763.5
9400 13766.3
9500 13769
9600 13772.1
9700 13775.3
9800 13776.5
9900 13775.5
10000 13773.1
