# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.00244438
200 0.00244414
300 0.00244399
400 0.00244409
500 0.00244448
600 0.00244517
700 0.00244616
800 0.00244744
900 0.00244901
1000 0.00245084
1100 0.00245287
1200 0.00245505
1300 0.00245727
1400 0.00245939
1500 0.00246136
1600 0.00246316
1700 0.00246477
1800 0.00246625
1900 0.00246757
2000 0.00246875
2100 0.00246988
2200 0.00247096
2300 0.00247198
2400 0.00247296
2500 0.0024739
2600 0.00247488
2700 0.0024759
2800 0.00247691
2900 0.00247789
3000 0.00247887
3100 0.00247986
3200 0.00248083
3300 0.0024818
3400 0.00248286
3500 0.002484
3600 0.00248516
3700 0.0024863
3800 0.00248744
3900 0.00248865
4000 0.00248998
4100 0.00249146
4200 0.00249309
4300 0.00249481
4400 0.00249653
4500 0.00249822
4600 0.00249987
4700 0.00250145
4800 0.002503
4900 0.00250458
5000 0.0025062
5100 0.0025079
5200 0.00250973
5300 0.00251167
5400 0.00251369
5500 0.00251576
5600 0.00251787
5700 0.00251996
5800 0.00252204
5900 0.00252408
6000 0.00252606
6100 0.00252793
6200 0.00252968
6300 0.00253136
6400 0.0025331
6500 0.00253501
6600 0.00253712
6700 0.0025394
6800 0.00254182
6900 0.00254433
7000 0.0025469
7100 0.00254959
7200 0.00255244
7300 0.00255551
7400 0.0025588
7500 0.00256222
7600 0.00256573
7700 0.00256928
7800 0.00257283
7900 0.00257646
8000 0.00258028
8100 0.00258429
8200 0.0025884
8300 0.00259258
8400 0.00259684
8500 0.00260113
8600 0.00260542
8700 0.00260968
8800 0.00261397
8900 0.00261832
9000 0.0026227
9100 0.00262709
9200 0.00263147
9300 0.00263582
9400 0.00264011
9500 0.00264433
9600 0.00264845
9700 0.00265245
9800 0.00265631
9900 0.00266004
10000 0.00266372
10100 0.0026674
10200 0.00267102
10300 0.00267454
10400 0.00267795
10500 0.00268125
10600 0.00268453
10700 0.00268787
10800 0.00269131
10900 0.00269482
11000 0.00269849
11100 0.00270236
11200 0.00270639
11300 0.00271054
11400 0.00271466
11500 0.00271869
11600 0.00272268
11700 0.0027268
11800 0.00273111
11900 0.00273562
12000 0.00274027
12100 0.00274505
12200 0.00274996
12300 0.00275498
12400 0.00276004
12500 0.00276508
12600 0.00277008
12700 0.00277497
12800 0.00277964
12900 0.00278415
13000 0.00278857
13100 0.0027929
13200 0.00279717
13300 0.00280141
13400 0.00280567
13500 0.00280997
13600 0.00281435
13700 0.00281887
13800 0.00282355
13900 0.0028284
14000 0.0028334
14100 0.00283845
14200 0.00284344
14300 0.00284836
14400 0.00285322
14500 0.00285794
14600 0.00286239
14700 0.00286649
14800 0.00287029
14900 0.00287383
15000 0.00287711
15100 0.00288019
15200 0.00288316
15300 0.00288606
15400 0.00288896
15500 0.00289188
15600 0.00289473
15700 0.00289746
15800 0.0029001
15900 0.00290278
16000 0.00290561
16100 0.00290857
16200 0.00291161
16300 0.00291476
16400 0.00291802
16500 0.00292145
16600 0.00292507
16700 0.00292889
16800 0.00293291
16900 0.00293712
17000 0.00294146
17100 0.00294584
17200 0.00295018
17300 0.00295444
17400 0.00295858
17500 0.00296257
17600 0.00296646
17700 0.00297031
17800 0.00297416
17900 0.00297804
18000 0.00298197
18100 0.00298581
18200 0.00298942
18300 0.00299261
18400 0.0029953
18500 0.00299752
18600 0.00299937
18700 0.00300101
18800 0.00300255
18900 0.00300406
19000 0.00300566
19100 0.0030073
19200 0.00300889
19300 0.00301046
19400 0.00301215
19500 0.00301401
19600 0.00301598
19700 0.00301814
19800 0.00302053
19900 0.00302321
20000 0.00302609
20100 0.00302905
20200 0.00303204
20300 0.00303502
20400 0.00303787
20500 0.00304041
20600 0.00304256
20700 0.00304437
20800 0.00304588
20900 0.00304713
21000 0.00304816
21100 0.003049
21200 0.00304975
21300 0.00305051
21400 0.00305138
21500 0.00305238
21600 0.0030534
21700 0.00305437
21800 0.00305532
21900 0.00305629
22000 0.00305735
22100 0.00305856
22200 0.00305998
22300 0.00306166
22400 0.00306368
22500 0.00306605
22600 0.00306865
22700 0.00307135
22800 0.00307416
22900 0.00307717
23000 0.00308044
23100 0.00308399
23200 0.00308777
23300 0.00309174
23400 0.0030958
23500 0.00309987
23600 0.00310389
23700 0.00310781
23800 0.00311155
23900 0.00311511
24000 0.00311861
24100 0.00312205
24200 0.00312537
24300 0.00312855
24400 0.00313166
24500 0.00313474
24600 0.00313791
24700 0.00314126
24800 0.00314484
24900 0.00314865
25000 0.00315271
25100 0.00315704
25200 0.00316166
25300 0.00316656
25400 0.00317164
25500 0.0031768
25600 0.00318194
25700 0.00318698
25800 0.00319185
25900 0.00319657
26000 0.00320124
26100 0.00320586
26200 0.00321039
26300 0.00321485
26400 0.00321931
26500 0.00322377
26600 0.00322822
26700 0.00323268
26800 0.00323723
26900 0.00324189
27000 0.00324663
27100 0.00325138
27200 0.0032561
27300 0.00326089
27400 0.0032658
27500 0.00327078
27600 0.00327573
27700 0.00328067
27800 0.0032856
27900 0.00329048
28000 0.00329526
28100 0.0033
28200 0.0033047
28300 0.00330929
28400 0.00331378
28500 0.00331813
28600 0.00332233
28700 0.00332627
28800 0.00332993
28900 0.00333338
29000 0.0033366
29100 0.00333969
29200 0.00334279
29300 0.00334602
29400 0.00334954
29500 0.00335352
29600 0.00335798
29700 0.00336282
29800 0.00336787
29900 0.00337289
30000 0.0033777
30100 0.00338226
30200 0.00338661
30300 0.00339074
30400 0.00339464
30500 0.00339835
30600 0.00340189
30700 0.0034052
30800 0.00340836
30900 0.00341149
31000 0.00341465
31100 0.00341781
31200 0.00342105
31300 0.00342443
31400 0.00342785
31500 0.00343114
31600 0.00343426
31700 0.00343726
31800 0.00344013
31900 0.00344279
32000 0.00344515
32100 0.00344722
32200 0.00344911
32300 0.00345094
32400 0.00345271
32500 0.00345435
32600 0.00345572
32700 0.00345684
32800 0.00345788
32900 0.00345908
33000 0.0034606
33100 0.00346244
33200 0.00346456
33300 0.00346681
33400 0.00346908
33500 0.0034714
33600 0.00347375
33700 0.00347612
33800 0.00347837
33900 0.00348039
34000 0.00348217
34100 0.00348377
34200 0.00348525
34300 0.00348677
34400 0.00348851
34500 0.00349051
