# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 24.3106
200 107.878
300 157.975
400 179.615
500 195.288
600 203.511
700 217.167
800 227.167
900 233.509
1000 247.474
1100 261.107
1200 272.547
1300 267.138
1400 273.88
1500 278.57
1600 287.994
1700 306.015
1800 305.403
1900 310.977
2000 335.152
2100 331.733
2200 339.016
2300 340.948
2400 334.795
2500 349.344
2600 353.34
2700 342.74
2800 332.612
2900 341.895
3000 346.172
3100 332.247
3200 323.782
3300 328.859
3400 323.895
3500 298.67
3600 292.349
3700 299.448
3800 306.552
3900 311.199
4000 315.022
4100 320.924
4200 313.619
4300 299.985
4400 299.578
4500 304.587
4600 306.276
4700 307.512
4800 312.78
4900 311.121
5000 303.606
5100 307.745
5200 304.893
5300 301.881
5400 302.676
5500 298.274
5600 293.588
5700 309.022
5800 308.474
5900 310.546
6000 314.802
6100 305.93
6200 299.838
6300 309.748
6400 320.528
6500 315.35
6600 305.142
6700 304.767
6800 295.723
6900 290.83
7000 295.456
7100 301.049
7200 319.344
7300 318.987
7400 307.003
7500 310.552
7600 312.957
7700 299.518
7800 304.454
7900 327.237
8000 333.941
8100 317.469
8200 313.246
8300 327.528
8400 325.773
8500 324.585
8600 320.471
8700 326.562
8800 320.893
8900 310.611
9000 312.63
9100 319.769
9200 326.495
9300 335.596
9400 330.229
9500 324.419
9600 323.132
9700 321.89
9800 319.398
9900 315.474
10000 319.898
10100 317.75
10200 321.139
10300 320.313
10400 315.903
10500 317.04
10600 318.131
10700 313.943
10800 306.716
10900 309.327
11000 312.668
11100 309.079
11200 320.21
11300 303.892
11400 295.828
11500 288.64
11600 300.235
11700 309.328
11800 302.999
11900 292.306
12000 304.426
12100 295.209
12200 301.832
12300 305.352
12400 304.985
12500 312.665
12600 317.066
12700 307.766
12800 314.112
12900 315.288
13000 296.091
13100 297.783
13200 310.082
13300 298.512
13400 293.766
13500 292.076
13600 308.173
13700 308.272
13800 308.804
13900 319.735
14000 305.848
14100 302.215
14200 306.157
14300 320.361
14400 318.536
14500 309.083
14600 311.577
14700 326.558
14800 333.691
14900 312.486
15000 316.187
15100 318.85
15200 315.048
15300 314.686
15400 307.396
15500 295.54
15600 294.256
15700 294.321
15800 307.832
15900 309.025
16000 298.971
16100 302.583
16200 307.111
16300 294.265
16400 308.074
16500 319.485
16600 318.741
16700 312.986
16800 314.342
16900 318.508
17000 331.849
17100 319.788
17200 320.599
17300 327.564
17400 329.267
17500 325.831
17600 316.709
17700 312.339
17800 327.195
17900 347.345
18000 345.033
18100 341.759
18200 328.421
18300 327.634
18400 321.741
18500 322.315
18600 336.545
18700 341.064
18800 320.418
18900 336.053
19000 327.042
19100 312.267
19200 319.185
19300 330.503
19400 322.821
19500 302.19
19600 321.743
19700 332.36
19800 322.085
19900 309.88
20000 305.619
20100 317.239
20200 328.268
20300 325.953
20400 332.343
20500 327.517
20600 329.358
20700 335.341
20800 337.446
20900 334.634
21000 325.513
21100 325.162
21200 317.379
21300 322.017
21400 326.07
21500 310.742
21600 300.745
