# Time-averaged data for fix myat2
# TimeStep v_myvol
100 72001.9
200 72008.8
300 72013.4
400 72010.5
500 71999
600 71978.6
700 71949.5
800 71911.8
900 71865.6
1000 71812.2
1100 71752.6
1200 71688.9
1300 71624.3
1400 71562.4
1500 71505.1
1600 71453
1700 71406.2
1800 71363.4
1900 71325.3
2000 71291.1
2100 71258.4
2200 71227.4
2300 71198
2400 71169.9
2500 71142.7
2600 71114.6
2700 71085.4
2800 71056.3
2900 71028.2
3000 71000
3100 70971.7
3200 70944
3300 70916.1
3400 70886
3500 70853.3
3600 70820.3
3700 70788
3800 70755.4
3900 70721
4000 70683.3
4100 70641.3
4200 70595
4300 70546.5
4400 70498
4500 70450.1
4600 70403.7
4700 70359.1
4800 70315.6
4900 70271.3
5000 70225.7
5100 70178.2
5200 70127.2
5300 70072.9
5400 70016.6
5500 69958.9
5600 69900.4
5700 69842.5
5800 69784.8
5900 69728.3
6000 69673.8
6100 69622.2
6200 69574
6300 69527.7
6400 69480
6500 69427.7
6600 69370
6700 69307.6
6800 69241.6
6900 69173.5
7000 69103.6
7100 69030.8
7200 68953.7
7300 68870.8
7400 68782.2
7500 68690.4
7600 68596.4
7700 68501.7
7800 68407.2
7900 68310.7
8000 68209.7
8100 68103.8
8200 67995.7
8300 67886.1
8400 67774.8
8500 67662.8
8600 67551.6
8700 67441.3
8800 67330.5
8900 67218.7
9000 67106.4
9100 66994.3
9200 66882.7
9300 66772.3
9400 66663.8
9500 66557.6
9600 66454
9700 66353.6
9800 66257.4
9900 66164.5
10000 66073.1
10100 65981.9
10200 65892.3
10300 65805.6
10400 65722
10500 65641.1
10600 65560.9
10700 65479.3
10800 65395.8
10900 65310.4
11000 65221.6
11100 65128.2
11200 65031.2
11300 64931.8
11400 64833.2
11500 64737.1
11600 64642.1
11700 64544.6
11800 64442.6
11900 64336.4
12000 64227.4
12100 64115.3
12200 64000.9
12300 63884.3
12400 63767.2
12500 63651
12600 63536.1
12700 63424.2
12800 63317.6
12900 63215.1
13000 63114.8
13100 63016.9
13200 62920.9
13300 62825.4
13400 62730.1
13500 62634
13600 62536.5
13700 62436.3
13800 62332.9
13900 62226
14000 62116.1
14100 62005.7
14200 61896.9
14300 61790.1
14400 61684.8
14500 61582.8
14600 61487
14700 61399.1
14800 61317.9
14900 61242.3
15000 61172.5
15100 61107.1
15200 61044.2
15300 60982.8
15400 60921.6
15500 60860.2
15600 60800.2
15700 60742.8
