# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 88.9917
200 175.15
300 265.574
400 305.963
500 304.257
600 305.148
700 279.136
800 303.467
900 291.344
1000 299.183
1100 301.907
1200 325.74
1300 299.18
1400 307.91
1500 294.611
1600 301.176
1700 295.986
1800 278.69
1900 316.589
2000 293.857
2100 314.085
2200 299.138
2300 305.133
2400 313.343
2500 291.515
2600 288.359
2700 296.532
2800 299.113
2900 297.948
3000 290.133
3100 302.642
3200 307.214
3300 298.511
3400 306.291
3500 312.573
3600 299.2
3700 305.341
3800 299.779
3900 300.94
4000 298.149
4100 290.734
4200 308.641
4300 301.014
4400 296.369
4500 291.421
4600 297.051
4700 298.493
4800 299.383
4900 299.295
5000 307.701
5100 297.63
5200 295.203
5300 302.555
5400 284.126
5500 299.433
5600 308.033
5700 302.161
5800 301.034
5900 303.564
6000 304.273
6100 297.321
6200 300.322
6300 302.469
6400 301.776
6500 296.049
6600 304.111
6700 287.676
6800 295.257
6900 299.756
7000 299.235
7100 303.504
7200 301.335
7300 299.916
7400 297.385
7500 311.732
7600 295.717
7700 303.441
7800 290.235
7900 300.713
8000 300.989
8100 304.111
8200 295.793
8300 301.651
8400 297.562
8500 296.794
8600 305.843
8700 303.795
8800 303.033
8900 297.487
9000 299.911
9100 292.904
9200 299.372
9300 302.342
9400 300.508
9500 305.545
9600 306.955
9700 302.672
9800 307.738
9900 304.215
10000 302.513
10100 297.273
10200 296.598
10300 303.829
10400 293.889
10500 307.532
10600 292.11
10700 298.697
10800 290.029
10900 291.366
11000 310.32
11100 298.201
11200 302.844
11300 294.07
11400 302.585
11500 314.67
11600 303.194
11700 300.441
11800 282.052
11900 301.751
12000 299.953
12100 296.804
12200 307.774
12300 287.126
12400 295.465
12500 288.972
12600 294.712
12700 294.877
12800 300.983
12900 304.606
13000 309.534
13100 303.67
13200 309.695
13300 309.771
13400 298.351
13500 301.563
13600 310.48
13700 291.754
13800 303.68
13900 288.687
14000 290.24
14100 301.89
14200 294.259
14300 306.882
14400 308.835
14500 297.786
14600 304.31
14700 302.274
14800 305.711
14900 305.968
15000 303.32
15100 291.201
15200 302.798
15300 304.929
15400 292.544
15500 295.622
15600 306.648
15700 302.899
15800 300.775
15900 288.019
16000 308.222
16100 307.121
16200 304.947
16300 303.481
16400 299.28
16500 300.121
16600 296.468
16700 301.211
16800 292.261
16900 295.843
17000 302.29
17100 295.591
17200 295.667
17300 302.722
17400 299.785
17500 297.309
17600 294.726
17700 305.452
17800 301.252
17900 303.67
18000 306.876
18100 297.234
18200 294.941
18300 299.471
18400 304.529
18500 288.093
18600 300.154
18700 306.271
18800 289.062
18900 305.796
19000 300.747
19100 288.478
19200 302.484
19300 305.661
19400 308.385
19500 307.75
19600 297.412
19700 299.097
19800 293.348
19900 303.568
20000 293.589
20100 297.969
20200 303.492
20300 302.251
20400 309.383
20500 292.406
20600 308.529
20700 296.026
20800 302.443
20900 302.611
21000 292.279
21100 301.554
21200 295.201
21300 301.319
21400 296.458
21500 306.077
21600 303.825
21700 294.889
21800 292.717
21900 297.05
22000 281.753
22100 311.633
22200 280.862
22300 293.775
22400 303.691
22500 310.413
22600 304.86
22700 317.844
22800 308.639
22900 306.381
23000 300.041
23100 286.583
23200 292.47
23300 296.018
23400 304.855
23500 298.356
23600 296.271
23700 304.096
23800 298.356
23900 297.892
24000 302.879
24100 296.414
24200 303.177
24300 311.167
24400 304.757
24500 298.13
24600 305.303
24700 299.416
24800 303.332
24900 307.093
25000 309.108
25100 298.91
25200 302.116
25300 301.521
25400 301.218
25500 293.115
25600 293.558
25700 294.997
25800 295.909
25900 303.762
26000 292.153
26100 296.737
26200 300.229
26300 300.132
26400 304.88
26500 298.77
26600 301.757
26700 301.189
26800 286.874
26900 295.764
27000 295.234
27100 294.307
27200 298.692
27300 299.6
27400 303.157
27500 295.067
27600 302.399
27700 312.55
27800 313.748
27900 304.452
28000 304.476
28100 304.581
28200 296.967
28300 294.628
28400 288.828
28500 299.915
28600 304.919
28700 303.989
28800 301.146
28900 300.683
29000 305.989
29100 291.716
29200 298.132
29300 289.889
29400 296.792
29500 300.304
29600 303.356
29700 303.466
29800 295.108
29900 289.962
30000 305.197
30100 303.746
30200 296.658
30300 300.805
30400 300.104
30500 303.53
30600 309.672
30700 306.132
30800 306.13
30900 293.597
31000 300.223
31100 293.378
31200 293.908
31300 305.987
31400 307.489
31500 295.527
31600 286.591
31700 301.045
31800 305.883
31900 306.498
32000 313.554
32100 296.552
32200 300.364
32300 295.943
32400 306.45
32500 297.226
32600 303.477
32700 298.959
32800 299.571
32900 295.468
33000 304.506
33100 294.718
33200 313.447
33300 298.813
33400 294.27
33500 305.294
33600 305.294
33700 295.641
33800 288.889
33900 293.91
34000 297.173
34100 292.354
34200 293.748
34300 293.977
34400 292.225
34500 295.74
34600 302.296
34700 294.5
34800 304.222
34900 295.332
35000 294.372
35100 295.667
35200 298.775
35300 300.611
35400 304.231
35500 308
35600 303.256
35700 292.939
35800 308.823
35900 306.078
36000 300.956
36100 304.972
36200 305.278
36300 300.333
36400 295.365
36500 297.555
36600 309.426
36700 302.826
36800 300.606
36900 301.749
37000 300.006
37100 298.156
37200 287.553
37300 300.83
37400 310.888
37500 301.524
37600 291.223
37700 304.897
37800 304.879
37900 299.836
38000 303.534
38100 293.662
38200 297.208
38300 304.901
38400 294.994
38500 287.154
38600 297.873
38700 298.19
38800 306.068
38900 300.729
39000 301.09
39100 298.268
39200 308.178
39300 308.585
39400 301.427
39500 295.815
39600 299.528
39700 296.73
39800 298.898
39900 301.559
40000 312.897
40100 301.822
40200 302.371
40300 297.86
40400 296.288
40500 295.385
40600 293.632
40700 308.22
40800 296.204
40900 298.737
41000 301.604
41100 300.202
41200 296.656
41300 302.847
41400 296.438
41500 296.391
41600 301.724
41700 296.288
41800 305.421
41900 303.756
42000 305.805
42100 298.006
42200 302.204
42300 301.689
42400 298.946
42500 297.184
42600 295.373
42700 301.026
42800 297.189
42900 301.588
43000 304.279
43100 306.634
43200 302.732
43300 300.092
43400 303.168
43500 301.09
43600 301.055
43700 303.685
43800 301.182
43900 297.176
44000 301.668
44100 299.675
44200 302.442
44300 294.414
44400 303.18
44500 294.216
44600 301.052
44700 295.792
44800 300.71
44900 299.691
45000 296.349
45100 306.259
45200 300.818
45300 307.514
45400 312.729
45500 288.676
45600 289.382
45700 301.345
45800 296.423
45900 301.011
46000 299.594
46100 297.889
46200 315.666
46300 295.997
46400 309.844
46500 299.649
46600 303.948
46700 289.754
46800 298.965
46900 297.92
47000 298.015
47100 301.911
47200 301.648
47300 300.97
47400 302.146
47500 303.456
47600 301.293
47700 305.479
47800 302.003
47900 295.215
48000 297.735
48100 301.433
48200 295.199
48300 298.277
48400 301.634
48500 303.67
48600 306.575
48700 300.961
48800 300.522
48900 296.618
49000 297.841
49100 300.059
49200 297.596
49300 306.1
49400 304.391
49500 301.102
49600 295.152
49700 298.972
49800 298.412
49900 305.918
50000 297.187
50100 308.426
50200 303.616
50300 292.595
50400 295.182
50500 298.375
50600 303.434
50700 310.181
50800 295.431
50900 295.685
51000 302.818
51100 297.654
51200 301.566
51300 293.009
51400 296.583
51500 300.404
51600 298.839
51700 297.514
51800 300.561
51900 296.481
52000 300.624
52100 299.382
52200 295.612
52300 296.743
52400 305.233
52500 300.814
52600 299.947
52700 302.21
52800 308.623
52900 295.973
53000 307.49
53100 296.078
53200 299.025
53300 294.961
53400 300.6
53500 294.789
53600 301.349
53700 298.943
53800 290.549
53900 295.94
54000 301.024
54100 296.923
54200 300.221
54300 299.983
54400 307.095
54500 296.088
54600 301.338
54700 295.733
54800 303.225
54900 295.279
55000 310.515
55100 298.427
55200 302.443
55300 300.437
55400 297.952
55500 303.638
55600 302.028
55700 303.097
55800 298.313
55900 307.163
56000 292.193
56100 297.642
56200 303.521
56300 301.758
56400 300.168
56500 310.843
56600 301.362
56700 303.697
56800 293.593
56900 296.853
57000 294.709
57100 300.517
57200 299.46
57300 295.166
57400 299.921
57500 306.109
57600 296.785
57700 304.262
57800 308.919
57900 301.958
58000 294.172
58100 296.654
58200 299.202
58300 297.705
58400 295.572
58500 296.699
58600 297.928
58700 301.43
58800 295.019
58900 308.633
59000 301.496
59100 297.193
59200 301.212
59300 301.807
59400 295.529
59500 308.86
59600 294.905
59700 296.626
59800 297.983
59900 303.663
60000 301.264
60100 295.793
60200 291.514
60300 306.443
60400 303.07
60500 302.113
60600 298.694
60700 294.849
60800 306.911
60900 310.824
61000 299.957
61100 311.231
61200 292.295
61300 291.836
61400 292.215
61500 298.191
61600 293.323
61700 302.176
61800 304.913
61900 304.67
62000 294.934
62100 299.514
62200 302.898
62300 307.795
62400 302.777
62500 292.136
62600 300.754
62700 303.581
62800 291.942
62900 299.191
63000 305.259
63100 299.54
63200 291.805
63300 294.866
63400 297.471
63500 301.169
63600 294.62
63700 303.629
63800 303.842
63900 300.201
64000 296.662
64100 306.451
64200 298.81
64300 305.026
64400 298.223
64500 303.463
64600 294.53
64700 290.406
64800 301.972
64900 312.229
65000 307.349
65100 296.264
65200 306.058
65300 309.483
65400 300.493
65500 307.994
65600 302.107
65700 302.264
65800 301.727
65900 302.134
66000 296.648
66100 299.507
66200 293.855
66300 302.495
66400 301.921
66500 305.955
66600 299.529
66700 290.915
66800 292.154
66900 295.302
67000 297.452
67100 302.364
67200 296.591
67300 309.327
67400 311.888
67500 304.439
67600 303.501
67700 296.784
67800 296.396
67900 297.922
68000 289.053
68100 297.966
68200 294.235
68300 298.879
68400 304.865
68500 305.486
68600 306.271
68700 301.02
68800 298.012
68900 303.049
69000 295.026
69100 298.627
69200 298.469
69300 295.912
69400 305.718
69500 308.032
69600 297.277
69700 291.254
69800 295.156
69900 294.23
70000 303.66
70100 300.416
70200 300.268
70300 300.769
70400 304.613
70500 299.769
70600 293.419
70700 303.917
70800 292.361
70900 299.877
71000 303.265
71100 301.087
