# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
100 -3.20199 -3.86155
200 -4.53791 11.8484
300 2.33947 -8.75885
400 3.86465 2.16436
500 14.6985 10.0484
600 -4.09217 -18.6353
700 -3.29801 15.5585
800 -4.75265 12.4355
900 -1.07622 -6.60654
1000 11.3015 -1.32022
1100 -17.2861 7.23928
1200 -4.66161 -33.9404
1300 14.0555 17.3532
1400 5.20681 -20.7608
1500 -27.815 17.0475
1600 7.39132 6.44148
1700 -1.43099 -13.0615
1800 0.876008 14.109
1900 -4.96172 16.8014
2000 18.3354 -12.5481
2100 6.16109 -16.2896
2200 -8.69643 13.2009
2300 -5.75186 3.14835
2400 15.3518 15.331
2500 -15.3489 -9.78587
2600 -8.27245 3.87386
2700 -1.87763 10.4961
2800 19.7127 -22.335
2900 -7.87371 0.859053
3000 -4.89043 -1.21544
3100 -5.94109 5.62305
3200 -9.25961 -13.1833
3300 7.44815 12.4996
3400 -18.8231 13.5827
3500 23.2944 -24.2305
3600 3.00134 3.01502
3700 -7.35028 3.38758
3800 5.83793 7.90638
3900 22.0186 4.07503
4000 -25.8836 0.611853
4100 -0.805414 23.6553
4200 -4.68117 -23.4881
4300 16.4722 7.0124
4400 -12.7283 -2.18639
4500 12.9899 -5.77792
4600 -3.69237 -18.7381
4700 -2.99404 9.21261
4800 -39.2534 12.2672
4900 12.0203 11.5519
5000 -0.217768 -22.5535
5100 7.96416 21.3485
5200 -11.457 3.0233
5300 35.0608 -23.3055
5400 -8.1368 4.49205
5500 -7.51504 18.212
5600 -4.8518 -6.81163
5700 4.63523 10.4482
5800 -12.5934 -8.2994
5900 -13.0049 15.2108
6000 28.395 -30.5848
6100 7.78091 2.92535
6200 -10.4259 19.5523
6300 -7.15454 -5.71685
6400 -4.49083 -3.86565
6500 13.3268 6.37469
6600 -32.2083 9.52814
6700 27.4618 -23.631
6800 -4.50482 -1.62521
6900 -2.00574 8.45521
7000 1.79836 -6.09566
7100 11.0882 13.4491
7200 -20.9206 -6.32664
7300 -2.8697 21.8159
7400 28.784 -25.0815
7500 -17.4705 5.49501
7600 -2.93491 11.5185
7700 22.2295 0.340491
7800 -12.5553 -16.9438
7900 -14.793 21.4425
8000 -4.93897 -11.7303
8100 13.0844 -2.87838
8200 0.294224 -2.48247
8300 -16.0702 3.02789
8400 24.9421 -2.42849
8500 -11.2871 4.679
8600 -13.8789 7.43471
8700 27.1905 4.82754
8800 -26.3984 -12.4017
8900 8.82308 6.49655
9000 5.91228 2.78577
9100 -0.380612 -16.9902
9200 4.49942 13.3048
9300 -14.4898 -15.2793
9400 4.00251 31.3988
9500 -2.04911 -9.67503
9600 -14.4836 -13.7294
9700 20.7409 -0.260443
9800 -9.74116 0.227582
9900 15.5199 14.8035
10000 -3.898 -3.88223
10100 -18.5496 7.23337
10200 10.6828 -1.69125
10300 12.1022 -19.5778
10400 1.4247 21.4404
10500 -0.0275293 -18.9556
10600 -27.3092 -16.6725
10700 -5.69868 31.0359
10800 19.3749 -11.2069
10900 9.65521 -7.66386
11000 -17.8588 6.99158
11100 9.55458 -16.4794
11200 11.401 28.3821
11300 -32.1464 7.26861
11400 21.2922 -14.8991
11500 7.96272 13.6619
11600 -9.51546 -4.56612
11700 20.8099 -6.93926
11800 -30.9915 2.67258
11900 16.1639 9.8307
12000 -11.115 -12.8023
12100 -19.3466 -2.4571
12200 13.1894 3.65256
12300 10.8066 -19.2699
12400 5.63492 29.3013
12500 -17.5843 -5.91249
12600 13.226 14.8177
12700 -15.5864 -6.3697
12800 21.6594 7.36973
12900 8.52834 -19.7254
13000 -24.1602 -0.454449
13100 -7.38717 4.34268
13200 -4.97218 3.35719
13300 1.85417 -4.44682
13400 -6.36665 -11.2145
13500 21.5046 -4.14158
13600 -9.77641 22.8792
13700 12.4303 -7.05788
13800 -19.3868 20.4714
13900 16.221 7.94217
14000 10.4649 -15.1398
14100 -3.19632 -19.2859
14200 -13.6176 16.1675
14300 -8.86135 -20.9666
14400 3.17994 40.2403
14500 -12.7918 -18.1704
14600 15.2196 -18.7657
14700 0.253986 9.33809
14800 15.1869 -3.23266
14900 -10.8427 18.9212
15000 -15.0211 11.7893
