# Time-averaged data for fix at3
# TimeStep c_Tmid
100 200.272
200 247.492
300 271.058
400 290.582
500 299.464
600 302.116
700 303.497
800 305.975
900 300.815
1000 301.449
1100 303.972
1200 299.918
1300 299.292
1400 300.852
1500 300.205
1600 305.054
1700 300.137
1800 299.968
1900 301.137
2000 300.784
2100 301.782
2200 299.197
2300 300.534
2400 301.395
2500 300.405
2600 301.011
2700 298.727
2800 298.481
2900 301.134
3000 302.425
3100 303.138
3200 299.558
3300 299.658
3400 298.474
3500 300.476
3600 299.552
3700 299.836
3800 298.243
3900 301.36
4000 300.515
4100 298.193
4200 300.981
4300 300.92
4400 298.632
4500 300.641
4600 300.278
4700 297.881
4800 300.117
4900 297.953
5000 303.887
5100 304.007
5200 300.953
5300 297.949
5400 300.325
5500 303.776
5600 303.629
5700 299.163
5800 301.136
5900 298.848
6000 299.234
6100 300.159
6200 300.476
6300 300.478
6400 303.431
6500 298.3
6600 304.192
6700 301.762
6800 295.483
6900 303.647
7000 304.549
7100 296.745
7200 300.655
7300 303.208
7400 299.18
7500 299.669
7600 302.031
7700 297.767
7800 301.371
7900 303.791
8000 297.451
8100 298.465
8200 304.526
8300 298.755
8400 298.606
8500 303.916
8600 300.618
8700 299.511
8800 301.381
8900 298.967
9000 299.024
9100 301.916
9200 298.836
9300 297.639
9400 302.865
9500 304.012
9600 300.12
9700 301.404
9800 299.914
9900 303.121
10000 301.615
10100 301.355
10200 300.751
10300 305.021
10400 300.695
10500 300.291
10600 301.03
10700 298.742
10800 298.014
10900 300.186
11000 301.304
11100 304.285
11200 299.155
11300 304.39
11400 301.014
11500 301.915
11600 301.322
11700 303.389
11800 302.417
11900 302.33
12000 298.627
12100 298.703
12200 296.492
12300 303.266
12400 298.754
12500 298.569
12600 299.594
12700 301.619
12800 304.002
12900 303.18
13000 302.568
13100 303.817
13200 302.373
13300 299.371
13400 300.112
13500 303.903
13600 300.599
13700 297.571
13800 307.571
13900 300.285
14000 301.686
14100 303.069
14200 301.758
14300 302.936
14400 301.117
14500 299.371
14600 300.612
14700 300.898
14800 299.43
14900 301.348
15000 304.146
