# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 50 59.99999999999999
  1 -24.5 1.67891 0.00104932
  2 -23.5 1.75699 0.00109812
  3 -22.5 1.77143 0.00110714
  4 -21.5 1.69033 0.00105646
  5 -20.5 1.66238 0.00103899
  6 -19.5 1.67653 0.00104783
  7 -18.5 1.71914 0.00107446
  8 -17.5 1.67369 0.00104606
  9 -16.5 1.66509 0.00104068
  10 -15.5 1.76634 0.00110396
  11 -14.5 1.9014 0.00118837
  12 -13.5 1.92806 0.00120504
  13 -12.5 1.79761 0.00112351
  14 -11.5 1.65627 0.00103517
  15 -10.5 1.57754 0.000985962
  16 -9.5 1.61476 0.00100923
  17 -8.5 1.60373 0.00100233
  18 -7.5 1.48071 0.000925444
  19 -6.5 1.22768 0.0007673
  20 -5.5 0.54321 0.000339506
  21 -4.5 0.03969 2.48062e-05
  22 -3.5 0.01135 7.09375e-06
  23 -2.5 0.00708 4.425e-06
  24 -1.5 0.00624 3.9e-06
  25 -0.5 0.00646 4.0375e-06
  26 0.5 0.00289 1.80625e-06
  27 1.5 0.00076 4.75e-07
  28 2.5 0.00141 8.8125e-07
  29 3.5 0.0039 2.4375e-06
  30 4.5 0.02249 1.40562e-05
  31 5.5 0.34601 0.000216256
  32 6.5 0.84978 0.000531112
  33 7.5 1.04255 0.000651594
  34 8.5 1.15889 0.000724306
  35 9.5 1.27866 0.000799163
  36 10.5 1.26398 0.000789987
  37 11.5 1.26537 0.000790856
  38 12.5 1.33441 0.000834006
  39 13.5 1.41299 0.000883119
  40 14.5 1.47548 0.000922175
  41 15.5 1.5239 0.000952438
  42 16.5 1.58188 0.000988675
  43 17.5 1.52163 0.000951019
  44 18.5 1.47469 0.000921681
  45 19.5 1.61597 0.00100998
  46 20.5 1.64641 0.00102901
  47 21.5 1.6608 0.001038
  48 22.5 1.72697 0.00107936
  49 23.5 1.6922 0.00105762
  50 24.5 1.63336 0.00102085
2000000 50 60
  1 -24.5 1.60296 0.00100185
  2 -23.5 1.59193 0.000994956
  3 -22.5 1.61696 0.0010106
  4 -21.5 1.61957 0.00101223
  5 -20.5 1.53232 0.0009577
  6 -19.5 1.48243 0.000926519
  7 -18.5 1.48697 0.000929356
  8 -17.5 1.61744 0.0010109
  9 -16.5 1.74352 0.0010897
  10 -15.5 1.63004 0.00101877
  11 -14.5 1.57797 0.000986231
  12 -13.5 1.59359 0.000995994
  13 -12.5 1.59856 0.0009991
  14 -11.5 1.53728 0.0009608
  15 -10.5 1.55572 0.000972325
  16 -9.5 1.56307 0.000976919
  17 -8.5 1.53549 0.000959681
  18 -7.5 1.50034 0.000937712
  19 -6.5 1.14513 0.000715706
  20 -5.5 0.42495 0.000265594
  21 -4.5 0.03774 2.35875e-05
  22 -3.5 0.01384 8.65e-06
  23 -2.5 0.01154 7.2125e-06
  24 -1.5 0.00261 1.63125e-06
  25 -0.5 3e-05 1.875e-08
  26 0.5 0 0
  27 1.5 0 0
  28 2.5 0 0
  29 3.5 0.0038 2.375e-06
  30 4.5 0.03171 1.98188e-05
  31 5.5 0.46568 0.00029105
  32 6.5 1.09964 0.000687275
  33 7.5 1.35108 0.000844425
  34 8.5 1.46785 0.000917406
  35 9.5 1.49507 0.000934419
  36 10.5 1.53428 0.000958925
  37 11.5 1.54388 0.000964925
  38 12.5 1.50995 0.000943719
  39 13.5 1.70346 0.00106466
  40 14.5 1.68652 0.00105408
  41 15.5 1.65468 0.00103418
  42 16.5 1.62777 0.00101736
  43 17.5 1.67495 0.00104684
  44 18.5 1.60693 0.00100433
  45 19.5 1.55433 0.000971456
  46 20.5 1.46575 0.000916094
  47 21.5 1.54651 0.000966569
  48 22.5 1.6191 0.00101194
  49 23.5 1.6443 0.00102769
  50 24.5 1.69076 0.00105672
3000000 50 59.99999999999999
  1 -24.5 1.61115 0.00100697
  2 -23.5 1.61024 0.0010064
  3 -22.5 1.66169 0.00103856
  4 -21.5 1.67477 0.00104673
  5 -20.5 1.53792 0.0009612
  6 -19.5 1.5382 0.000961375
  7 -18.5 1.73189 0.00108243
  8 -17.5 1.87239 0.00117024
  9 -16.5 1.88839 0.00118024
  10 -15.5 1.95293 0.00122058
  11 -14.5 1.93646 0.00121029
  12 -13.5 1.84476 0.00115298
  13 -12.5 1.99283 0.00124552
  14 -11.5 2.04 0.001275
  15 -10.5 1.97736 0.00123585
  16 -9.5 1.878 0.00117375
  17 -8.5 1.65065 0.00103166
  18 -7.5 1.54144 0.0009634
  19 -6.5 1.30529 0.000815806
  20 -5.5 0.57409 0.000358806
  21 -4.5 0.04109 2.56813e-05
  22 -3.5 0.01214 7.5875e-06
  23 -2.5 0.00472 2.95e-06
  24 -1.5 4e-05 2.5e-08
  25 -0.5 0 0
  26 0.5 0 0
  27 1.5 0 0
  28 2.5 0.00025 1.5625e-07
  29 3.5 0.00468 2.925e-06
  30 4.5 0.02373 1.48312e-05
  31 5.5 0.4018 0.000251125
  32 6.5 0.93671 0.000585444
  33 7.5 1.14056 0.00071285
